"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",4.1607979565093e-05,7.66873703180701e-07,-5.10661506797882e-06,1.97134480333786e-06,8.99267513685986e-06,1.04118894333724e-05
"q1_x_high_x_young",7.66873703180701e-07,1.91591561411867e-05,1.20749931957731e-05,1.2318909112978e-05,2.11919146594868e-08,-8.7349343870514e-06
"q2_x_high_x_young",-5.10661506797882e-06,1.20749931957731e-05,1.17322221688392e-05,1.04489813602067e-05,-9.69107282985472e-07,-7.36693680698486e-06
"q3_x_high_x_young",1.97134480333786e-06,1.2318909112978e-05,1.04489813602067e-05,1.81968247767705e-05,3.59961653246092e-06,-6.15753813691525e-06
"interim_x_high_x_young",8.99267513685986e-06,2.11919146594868e-08,-9.69107282985472e-07,3.59961653246092e-06,3.45994467405852e-05,4.10479051837013e-05
"post_x_high_x_young",1.04118894333724e-05,-8.7349343870514e-06,-7.36693680698486e-06,-6.15753813691525e-06,4.10479051837013e-05,9.67249680002805e-05
