"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young"
"rb_x_high_x_young",5.61112483621992e-05,1.98841198878356e-06,-1.66502926966236e-05,-1.64328736326197e-05,1.58104415165283e-05,2.97887662842012e-05
"q1_x_high_x_young",1.98841198878356e-06,0.000129961148683221,5.6703486306326e-05,-4.15010308118983e-05,7.15302561330704e-06,2.12803814680878e-05
"q2_x_high_x_young",-1.66502926966236e-05,5.6703486306326e-05,8.28879437101096e-05,4.22662312096894e-05,-3.41046889068138e-06,-4.08862416772432e-06
"q3_x_high_x_young",-1.64328736326197e-05,-4.15010308118983e-05,4.22662312096894e-05,0.000138499317776661,-1.86119315665363e-05,-3.50240755971978e-05
"interim_x_high_x_young",1.58104415165283e-05,7.15302561330704e-06,-3.41046889068138e-06,-1.86119315665363e-05,9.32910392137438e-05,0.0001128223119877
"post_x_high_x_young",2.97887662842012e-05,2.12803814680878e-05,-4.08862416772432e-06,-3.50240755971978e-05,0.0001128223119877,0.000236454345003693
