part,spec,term,coef,se,t,var_post,var_interim,cov_post_interim,n_obs,n_firms,status
R,sexsum_minus_pooled_2024,cells_explained_exactly,179.0,,,,,,,,count
R,sexsum_minus_pooled_2024,cells_unexplained,0.0,,,,,,,,count
R,sexsum_minus_pooled_2024,person_months_gap,179.0,,,,,,,,count
R,sexsum_minus_pooled_2024,person_months_expected,179.0,,,,,,,,count
R,sexsum_minus_pooled_2024,share_explained,1.0,,,,,,,,share
R,rawpool_vs_pooled_2024,cells,8880818.0,,,,,,,,count
R,rawpool_vs_pooled_2024,cells_identical,8880818.0,,,,,,,,count
R,rawpool_vs_pooled_2024,share_identical,1.0,,,,,,,,share
R,rawpool_vs_pooled_2024,max_abs_diff,0.0,,,,,,,,count
R,rawpool_vs_pooled_2024,cells_on_one_side,0.0,,,,,,,,count
R,rawpool_vs_pooled_2024,person_months_new,63836312.0,,,,,,,,count
R,rawpool_vs_pooled_2024,person_months_old,63836312.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,cells_with_gap,179.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,cells_expected_gap,179.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,cells_explained_exactly,179.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,cells_unexplained,0.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,person_months_gap,179.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,person_months_expected,179.0,,,,,,,,count
R,raw99sum_minus_pooled_2024,share_explained,1.0,,,,,,,,share
R,anomalous_2025,multisex_person_months,92.0,,,,,,,,count
R,anomalous_2025,multibirth_person_months,0.0,,,,,,,,count
R,sexsum_minus_pooled_2025,cells_with_gap,92.0,,,,,,,,count
R,sexsum_minus_pooled_2025,cells_expected_gap,92.0,,,,,,,,count
R,sexsum_minus_pooled_2025,cells_explained_exactly,92.0,,,,,,,,count
R,sexsum_minus_pooled_2025,cells_unexplained,0.0,,,,,,,,count
R,sexsum_minus_pooled_2025,person_months_gap,92.0,,,,,,,,count
R,sexsum_minus_pooled_2025,person_months_expected,92.0,,,,,,,,count
R,sexsum_minus_pooled_2025,share_explained,1.0,,,,,,,,share
R,rawpool_vs_pooled_2025,cells,4336635.0,,,,,,,,count
R,rawpool_vs_pooled_2025,cells_identical,4336635.0,,,,,,,,count
R,rawpool_vs_pooled_2025,share_identical,1.0,,,,,,,,share
R,rawpool_vs_pooled_2025,max_abs_diff,0.0,,,,,,,,count
R,rawpool_vs_pooled_2025,cells_on_one_side,0.0,,,,,,,,count
R,rawpool_vs_pooled_2025,person_months_new,31863413.0,,,,,,,,count
R,rawpool_vs_pooled_2025,person_months_old,31863413.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,cells_with_gap,92.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,cells_expected_gap,92.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,cells_explained_exactly,92.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,cells_unexplained,0.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,person_months_gap,92.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,person_months_expected,92.0,,,,,,,,count
R,raw99sum_minus_pooled_2025,share_explained,1.0,,,,,,,,share
R,estimation_panel_22_25,cells_with_gap,657.0,,,,,,,,count
R,estimation_panel_22_25,cells_expected_gap,657.0,,,,,,,,count
R,estimation_panel_22_25,cells_explained_exactly,657.0,,,,,,,,count
R,estimation_panel_22_25,cells_unexplained,0.0,,,,,,,,count
R,estimation_panel_22_25,person_months_gap,657.0,,,,,,,,count
R,estimation_panel_22_25,person_months_expected,657.0,,,,,,,,count
R,estimation_panel_22_25,share_explained,1.0,,,,,,,,share
R,estimation_panel_22_25,differing_cells_in_headline_panel,657.0,,,,,,,,count
R,estimation_panel_22_25,differing_cells_retained_by_fit,657.0,,,,,,,,count
R,estimation_panel_22_25,differing_cells_headline_zero,0.0,,,,,,,,count
F,gate_pooled,post,-0.0577798336502001,0.0154935051191686,-3.7292938689977104,,,,24884226.0,104217.0,ok
F,gate_pooled,tau,-0.0398618967161698,0.010245433478891902,-3.890698895102394,0.0002400487008777,9.3366338277899e-05,0.0001142230659926,24884226.0,104217.0,derived
F,gate_sex,post,-0.0858248170751674,0.0141980759680564,-6.044820246648963,,,,38398914.0,104217.0,ok
F,gate_sex,tau,-0.0713807947429852,0.01087436396960132,-6.564135147814276,0.0002015853611947,8.24794959840266e-05,8.29065327176816e-05,38398914.0,104217.0,derived
F,sex_no_multisex,post,-0.0858316072572104,0.0141980869403765,-6.045293821460031,,,,38398806.0,104217.0,ok
F,sex_no_multisex,tau,-0.0713828180697785,0.010874379059719252,-6.564312102581922,0.0002015856727664,8.24795952906486e-05,8.2906574061294e-05,38398806.0,104217.0,derived
