grp,expband,fresh,n,ws,wh
01Z,11-20,0,461.0,10199.7600362,0.0
01Z,11-20,1,609.0,14890.7400121,5.0
01Z,21+,0,2226.0,49591.59027105,20.0
01Z,21+,1,2792.0,61480.02026566,10.0
01Z,6-10,0,27.0,175.55000660000002,0.0
01Z,6-10,1,68.0,1416.2400026,0.0
01Z,na,0,57078.0,1471722.57647849,1788.0
01Z,na,1,51899.0,1244047.94605308,568.0
02Z,0-2,0,2978.0,86836.42052246,169.0
02Z,0-2,1,15498.0,463034.39558566,404.0
02Z,11-20,0,26525.0,876481.49661675,1978.0
02Z,11-20,1,29403.0,1027426.24701939,2345.0
02Z,21+,0,25817.0,952796.33502682,2858.0
02Z,21+,1,36218.0,1385219.93664397,4274.0
02Z,3-5,0,4007.0,117647.78072519999,168.0
02Z,3-5,1,10434.0,329417.88247789,310.0
02Z,6-10,0,11676.0,367244.97287055,611.0
02Z,6-10,1,13283.0,448117.29363473,749.0
02Z,na,0,129678.0,4467694.81889972,13148.0
02Z,na,1,118784.0,3790716.01394963,8386.0
03A,0-2,0,10404.0,384003.72399875,879.0
03A,0-2,1,26665.0,1061365.96322677,2446.0
03A,11-20,0,30056.0,1485363.81960769,6844.0
03A,11-20,1,49269.0,2425051.48365826,10959.0
03A,21+,0,55952.0,3078656.79967619,17502.0
03A,21+,1,78528.0,4116545.53239103,22716.0
03A,3-5,0,10683.0,436948.52495577,1231.0
03A,3-5,1,17030.0,719608.46876526,2029.0
03A,6-10,0,18780.0,827209.75790006,3024.0
03A,6-10,1,27746.0,1267104.16082692,4736.0
03A,na,0,32814.0,1236085.11422684,4506.0
03A,na,1,44424.0,1633580.76381393,5101.0
03N,0-2,0,6875.0,265875.4626138,712.0
03N,0-2,1,11235.0,455328.62487394,1188.0
03N,11-20,0,4325.0,230286.64141535,1175.0
03N,11-20,1,7113.0,367685.7119312,1855.0
03N,21+,0,11115.0,660180.49202817,4128.0
03N,21+,1,13529.0,786422.35187756,5075.0
03N,3-5,0,2817.0,116864.4211343,373.0
03N,3-5,1,3294.0,137369.84167364,369.0
03N,6-10,0,2994.0,132019.3412924,486.0
03N,6-10,1,4450.0,202142.50134397,654.0
03N,na,0,748.0,36266.5001386,181.0
03N,na,1,681.0,26471.240060160002,92.0
03T,0-2,0,3101.0,113992.31114146,290.0
03T,0-2,1,7252.0,277340.96260136,727.0
03T,11-20,0,394.0,15382.72017143,37.0
03T,11-20,1,941.0,38366.34038454,148.0
03T,3-5,0,2540.0,99419.44100906,310.0
03T,3-5,1,4022.0,167645.78153988,564.0
03T,6-10,0,1387.0,57391.3905179,197.0
03T,6-10,1,2324.0,96343.30077916,339.0
03T,na,1,34.0,1591.080036,5.0
13Z,11-20,0,49.0,1929.9500083,0.0
13Z,11-20,1,78.0,2993.2200112,0.0
13Z,21+,0,450.0,22289.6098616,47.0
13Z,21+,1,532.0,23601.0999055,67.0
13Z,3-5,0,10.0,559.100015,0.0
13Z,na,0,267.0,10949.649968400001,7.0
13Z,na,1,446.0,16518.4899715,21.0
14P,0-2,0,13662.0,637912.0829754,1900.0
14P,0-2,1,21868.0,1185713.46349898,5562.0
14P,11-20,0,3301.0,188299.3401299,922.0
14P,11-20,1,8375.0,476961.4393029,2431.0
14P,21+,0,972.0,62940.0200252,390.0
14P,21+,1,2023.0,125867.86985060001,758.0
14P,3-5,0,1187.0,63162.5401578,277.0
14P,3-5,1,3342.0,190890.6289074,966.0
14P,6-10,0,1730.0,93066.890192,396.0
14P,6-10,1,4840.0,272424.6495221,1259.0
15B,0-2,0,810.0,44850.711018400005,5.0
15B,0-2,1,7005.0,430296.143028,98.0
15B,11-20,0,900.0,56670.73123500001,55.0
15B,11-20,1,6091.0,381334.36737570004,478.0
15B,21+,0,13684.0,843909.4930507999,1653.0
15B,21+,1,28369.0,1755325.1485417,2946.0
15B,3-5,0,850.0,51271.94139,10.0
15B,3-5,1,6577.0,406249.46170100005,164.0
15B,6-10,0,969.0,59141.9813444,26.0
15B,6-10,1,7144.0,444548.7503492,431.0
15B,na,0,4391.0,274890.7238108,551.0
15B,na,1,914.0,50893.860612000004,94.0
15F,0-2,0,38.0,2212.079985,5.0
15F,0-2,1,1524.0,96706.149409,209.0
15F,11-20,0,84.0,5213.430016,8.0
15F,11-20,1,1663.0,106630.719134,331.0
15F,21+,0,2983.0,182302.60962160002,541.0
15F,21+,1,7831.0,491293.6968395,1611.0
15F,3-5,0,58.0,3604.7299730000004,9.0
15F,3-5,1,1353.0,86460.719339,226.0
15F,6-10,0,50.0,3215.349983,9.0
15F,6-10,1,1188.0,77162.989224,259.0
15F,na,0,472.0,29066.029886,74.0
15F,na,1,128.0,6943.989934,20.0
15G,0-2,0,628.0,35091.0200128,185.0
15G,0-2,1,7642.0,553152.3654608,5931.0
15G,11-20,0,4595.0,290899.9287125,1871.0
15G,11-20,1,31627.0,2187866.1477647,18670.0
15G,21+,0,7183.0,468178.5727185,3637.0
15G,21+,1,19454.0,1331493.35714858,12226.0
15G,3-5,0,592.0,39428.8197762,318.0
15G,3-5,1,7039.0,516728.1362265,5579.0
15G,6-10,0,1885.0,119533.1701406,625.0
15G,6-10,1,17127.0,1191401.2514108,9709.0
15G,na,0,7723.0,513069.737581,4604.0
15G,na,1,4023.0,195555.947177,1166.0
15H,0-2,0,209.0,14438.749847,91.0
15H,0-2,1,5073.0,376976.17176,3254.0
