age_group,expband,q_t,q_t1,same_code,enters_mgr,n,year
22-25,na,2,4,0,0,30.0,2019
22-25,na,2,4,0,1,,2019
22-25,na,3,1,0,0,30.0,2019
22-25,na,3,2,0,0,93.0,2019
22-25,na,3,3,0,0,35.0,2019
22-25,na,3,3,0,1,,2019
22-25,na,3,3,1,0,341.0,2019
22-25,na,3,4,0,0,38.0,2019
22-25,na,4,1,0,0,11.0,2019
22-25,na,4,2,0,0,44.0,2019
22-25,na,4,2,0,1,,2019
22-25,na,4,3,0,0,42.0,2019
22-25,na,4,3,0,1,,2019
22-25,na,4,4,0,0,92.0,2019
22-25,na,4,4,0,1,,2019
22-25,na,4,4,1,0,711.0,2019
26-30,0-2,0,3,0,0,,2019
26-30,0-2,0,4,0,0,,2019
26-30,0-2,1,1,0,0,254.0,2019
26-30,0-2,1,1,0,1,,2019
26-30,0-2,1,1,1,0,3566.0,2019
26-30,0-2,1,2,0,0,755.0,2019
26-30,0-2,1,2,0,1,7.0,2019
26-30,0-2,1,3,0,0,304.0,2019
26-30,0-2,1,3,0,1,7.0,2019
26-30,0-2,1,4,0,0,338.0,2019
26-30,0-2,1,4,0,1,,2019
26-30,0-2,2,1,0,0,385.0,2019
26-30,0-2,2,1,0,1,,2019
26-30,0-2,2,2,0,0,1668.0,2019
26-30,0-2,2,2,0,1,10.0,2019
26-30,0-2,2,2,1,0,16267.0,2019
26-30,0-2,2,3,0,0,1256.0,2019
26-30,0-2,2,3,0,1,112.0,2019
26-30,0-2,2,4,0,0,1240.0,2019
26-30,0-2,2,4,0,1,18.0,2019
26-30,0-2,3,1,0,0,86.0,2019
26-30,0-2,3,1,0,1,,2019
26-30,0-2,3,2,0,0,609.0,2019
26-30,0-2,3,2,0,1,5.0,2019
26-30,0-2,3,3,0,0,1904.0,2019
26-30,0-2,3,3,0,1,53.0,2019
26-30,0-2,3,3,1,0,14251.0,2019
26-30,0-2,3,4,0,0,1526.0,2019
26-30,0-2,3,4,0,1,28.0,2019
26-30,0-2,4,1,0,0,80.0,2019
26-30,0-2,4,1,0,1,,2019
26-30,0-2,4,2,0,0,496.0,2019
26-30,0-2,4,2,0,1,6.0,2019
26-30,0-2,4,3,0,0,1197.0,2019
26-30,0-2,4,3,0,1,97.0,2019
26-30,0-2,4,4,0,0,3495.0,2019
26-30,0-2,4,4,0,1,88.0,2019
26-30,0-2,4,4,1,0,25018.0,2019
26-30,11-20,0,0,1,0,,2019
26-30,11-20,0,1,0,0,,2019
26-30,11-20,0,2,0,0,,2019
26-30,11-20,1,1,0,0,629.0,2019
26-30,11-20,1,1,1,0,7821.0,2019
26-30,11-20,1,2,0,0,466.0,2019
26-30,11-20,1,2,0,1,9.0,2019
26-30,11-20,1,3,0,0,115.0,2019
26-30,11-20,1,3,0,1,12.0,2019
26-30,11-20,1,4,0,0,58.0,2019
26-30,11-20,1,4,0,1,,2019
26-30,11-20,2,1,0,0,411.0,2019
26-30,11-20,2,2,0,0,822.0,2019
26-30,11-20,2,2,0,1,13.0,2019
26-30,11-20,2,2,1,0,10830.0,2019
26-30,11-20,2,3,0,0,236.0,2019
26-30,11-20,2,3,0,1,34.0,2019
26-30,11-20,2,4,0,0,174.0,2019
26-30,11-20,2,4,0,1,11.0,2019
26-30,11-20,3,1,0,0,67.0,2019
26-30,11-20,3,2,0,0,183.0,2019
26-30,11-20,3,2,0,1,5.0,2019
26-30,11-20,3,3,0,0,114.0,2019
26-30,11-20,3,3,0,1,19.0,2019
26-30,11-20,3,3,1,0,2097.0,2019
26-30,11-20,3,4,0,0,152.0,2019
26-30,11-20,3,4,0,1,13.0,2019
26-30,11-20,4,1,0,0,35.0,2019
26-30,11-20,4,2,0,0,93.0,2019
26-30,11-20,4,2,0,1,,2019
26-30,11-20,4,3,0,0,134.0,2019
26-30,11-20,4,3,0,1,27.0,2019
26-30,11-20,4,4,0,0,236.0,2019
26-30,11-20,4,4,0,1,15.0,2019
26-30,11-20,4,4,1,0,2172.0,2019
26-30,3-5,0,0,1,0,,2019
26-30,3-5,1,1,0,0,240.0,2019
26-30,3-5,1,1,1,0,3504.0,2019
26-30,3-5,1,2,0,0,296.0,2019
26-30,3-5,1,2,0,1,,2019
26-30,3-5,1,3,0,0,91.0,2019
26-30,3-5,1,3,0,1,,2019
26-30,3-5,1,4,0,0,92.0,2019
26-30,3-5,1,4,0,1,,2019
26-30,3-5,2,1,0,0,246.0,2019
26-30,3-5,2,1,0,1,,2019
26-30,3-5,2,2,0,0,1147.0,2019
26-30,3-5,2,2,0,1,17.0,2019
26-30,3-5,2,2,1,0,13205.0,2019
26-30,3-5,2,3,0,0,431.0,2019
26-30,3-5,2,3,0,1,100.0,2019
26-30,3-5,2,4,0,0,422.0,2019
26-30,3-5,2,4,0,1,10.0,2019
26-30,3-5,3,1,0,0,70.0,2019
26-30,3-5,3,2,0,0,427.0,2019
26-30,3-5,3,2,0,1,7.0,2019
26-30,3-5,3,3,0,0,781.0,2019
26-30,3-5,3,3,0,1,85.0,2019
26-30,3-5,3,3,1,0,14465.0,2019
26-30,3-5,3,4,0,0,1047.0,2019
