age_group,expband,q_t,q_t1,same_code,enters_mgr,n,year
35-40,3-5,2,4,0,0,146.0,2019
35-40,3-5,2,4,0,1,7.0,2019
35-40,3-5,3,0,0,0,,2019
35-40,3-5,3,1,0,0,21.0,2019
35-40,3-5,3,2,0,0,163.0,2019
35-40,3-5,3,2,0,1,5.0,2019
35-40,3-5,3,3,0,0,382.0,2019
35-40,3-5,3,3,0,1,55.0,2019
35-40,3-5,3,3,1,0,6484.0,2019
35-40,3-5,3,4,0,0,393.0,2019
35-40,3-5,3,4,0,1,16.0,2019
35-40,3-5,4,1,0,0,21.0,2019
35-40,3-5,4,2,0,0,104.0,2019
35-40,3-5,4,2,0,1,6.0,2019
35-40,3-5,4,3,0,0,346.0,2019
35-40,3-5,4,3,0,1,92.0,2019
35-40,3-5,4,4,0,0,947.0,2019
35-40,3-5,4,4,0,1,81.0,2019
35-40,3-5,4,4,1,0,9851.0,2019
35-40,6-10,0,0,1,0,5.0,2019
35-40,6-10,0,2,0,0,,2019
35-40,6-10,0,3,0,1,,2019
35-40,6-10,1,1,0,0,161.0,2019
35-40,6-10,1,1,1,0,3052.0,2019
35-40,6-10,1,2,0,0,187.0,2019
35-40,6-10,1,2,0,1,5.0,2019
35-40,6-10,1,3,0,0,85.0,2019
35-40,6-10,1,3,0,1,12.0,2019
35-40,6-10,1,4,0,0,61.0,2019
35-40,6-10,1,4,0,1,6.0,2019
35-40,6-10,2,1,0,0,174.0,2019
35-40,6-10,2,1,0,1,,2019
35-40,6-10,2,2,0,0,862.0,2019
35-40,6-10,2,2,0,1,9.0,2019
35-40,6-10,2,2,1,0,11607.0,2019
35-40,6-10,2,3,0,0,348.0,2019
35-40,6-10,2,3,0,1,146.0,2019
35-40,6-10,2,4,0,0,350.0,2019
35-40,6-10,2,4,0,1,32.0,2019
35-40,6-10,3,1,0,0,56.0,2019
35-40,6-10,3,1,0,1,,2019
35-40,6-10,3,2,0,0,361.0,2019
35-40,6-10,3,2,0,1,15.0,2019
35-40,6-10,3,3,0,0,1234.0,2019
35-40,6-10,3,3,0,1,163.0,2019
35-40,6-10,3,3,1,0,18268.0,2019
35-40,6-10,3,4,0,0,1064.0,2019
35-40,6-10,3,4,0,1,48.0,2019
35-40,6-10,4,1,0,0,38.0,2019
35-40,6-10,4,2,0,0,250.0,2019
35-40,6-10,4,2,0,1,19.0,2019
35-40,6-10,4,3,0,0,932.0,2019
35-40,6-10,4,3,0,1,255.0,2019
35-40,6-10,4,4,0,0,2550.0,2019
35-40,6-10,4,4,0,1,291.0,2019
35-40,6-10,4,4,1,0,28627.0,2019
35-40,na,1,1,0,0,790.0,2019
35-40,na,1,1,1,0,13431.0,2019
35-40,na,1,2,0,0,662.0,2019
35-40,na,1,2,0,1,5.0,2019
35-40,na,1,3,0,0,110.0,2019
35-40,na,1,3,0,1,9.0,2019
35-40,na,1,4,0,0,48.0,2019
35-40,na,1,4,0,1,,2019
35-40,na,2,1,0,0,660.0,2019
35-40,na,2,1,0,1,,2019
35-40,na,2,2,0,0,1134.0,2019
35-40,na,2,2,0,1,8.0,2019
35-40,na,2,2,1,0,18273.0,2019
35-40,na,2,3,0,0,211.0,2019
35-40,na,2,3,0,1,29.0,2019
35-40,na,2,4,0,0,150.0,2019
35-40,na,2,4,0,1,13.0,2019
35-40,na,3,1,0,0,93.0,2019
35-40,na,3,2,0,0,255.0,2019
35-40,na,3,2,0,1,,2019
35-40,na,3,3,0,0,364.0,2019
35-40,na,3,3,0,1,37.0,2019
35-40,na,3,3,1,0,5781.0,2019
35-40,na,3,4,0,0,186.0,2019
35-40,na,3,4,0,1,9.0,2019
35-40,na,4,1,0,0,32.0,2019
35-40,na,4,2,0,0,122.0,2019
35-40,na,4,2,0,1,,2019
35-40,na,4,3,0,0,187.0,2019
35-40,na,4,3,0,1,32.0,2019
35-40,na,4,4,0,0,654.0,2019
35-40,na,4,4,0,1,63.0,2019
35-40,na,4,4,1,0,4631.0,2019
41-49,0-2,1,1,0,0,64.0,2019
41-49,0-2,1,1,1,0,1342.0,2019
41-49,0-2,1,2,0,0,170.0,2019
41-49,0-2,1,3,0,0,34.0,2019
41-49,0-2,1,3,0,1,5.0,2019
41-49,0-2,1,4,0,0,33.0,2019
41-49,0-2,1,4,0,1,,2019
41-49,0-2,2,1,0,0,106.0,2019
41-49,0-2,2,2,0,0,489.0,2019
41-49,0-2,2,2,0,1,,2019
41-49,0-2,2,2,1,0,5063.0,2019
41-49,0-2,2,3,0,0,274.0,2019
41-49,0-2,2,3,0,1,54.0,2019
41-49,0-2,2,4,0,0,141.0,2019
41-49,0-2,2,4,0,1,,2019
41-49,0-2,3,1,0,0,19.0,2019
41-49,0-2,3,2,0,0,153.0,2019
41-49,0-2,3,3,0,0,275.0,2019
41-49,0-2,3,3,0,1,42.0,2019
41-49,0-2,3,3,1,0,4786.0,2019
41-49,0-2,3,4,0,0,267.0,2019
41-49,0-2,3,4,0,1,8.0,2019
41-49,0-2,4,1,0,0,10.0,2019
41-49,0-2,4,2,0,0,77.0,2019
41-49,0-2,4,2,0,1,5.0,2019
41-49,0-2,4,3,0,0,242.0,2019
41-49,0-2,4,3,0,1,56.0,2019
41-49,0-2,4,4,0,0,395.0,2019
41-49,0-2,4,4,0,1,21.0,2019
41-49,0-2,4,4,1,0,4994.0,2019
41-49,11-20,0,0,1,0,20.0,2019
41-49,11-20,0,3,0,0,,2019
41-49,11-20,0,4,0,0,,2019
41-49,11-20,1,1,0,0,311.0,2019
41-49,11-20,1,1,1,0,7725.0,2019
41-49,11-20,1,2,0,0,331.0,2019
41-49,11-20,1,2,0,1,5.0,2019
41-49,11-20,1,3,0,0,109.0,2019
41-49,11-20,1,3,0,1,21.0,2019
41-49,11-20,1,4,0,0,103.0,2019
41-49,11-20,1,4,0,1,6.0,2019
41-49,11-20,2,1,0,0,287.0,2019
41-49,11-20,2,1,0,1,,2019
41-49,11-20,2,2,0,0,1484.0,2019
41-49,11-20,2,2,0,1,27.0,2019
41-49,11-20,2,2,1,0,26415.0,2019
41-49,11-20,2,3,0,0,612.0,2019
41-49,11-20,2,3,0,1,220.0,2019
41-49,11-20,2,4,0,0,622.0,2019
41-49,11-20,2,4,0,1,45.0,2019
41-49,11-20,3,0,0,0,,2019
41-49,11-20,3,1,0,0,122.0,2019
41-49,11-20,3,1,0,1,,2019
41-49,11-20,3,2,0,0,782.0,2019
41-49,11-20,3,2,0,1,34.0,2019
41-49,11-20,3,3,0,0,2051.0,2019
41-49,11-20,3,3,0,1,361.0,2019
41-49,11-20,3,3,1,0,42545.0,2019
41-49,11-20,3,4,0,0,2480.0,2019
41-49,11-20,3,4,0,1,177.0,2019
41-49,11-20,4,1,0,0,84.0,2019
41-49,11-20,4,1,0,1,,2019
41-49,11-20,4,2,0,0,567.0,2019
41-49,11-20,4,2,0,1,59.0,2019
41-49,11-20,4,3,0,0,2013.0,2019
41-49,11-20,4,3,0,1,886.0,2019
41-49,11-20,4,4,0,0,6232.0,2019
41-49,11-20,4,4,0,1,1019.0,2019
41-49,11-20,4,4,1,0,76979.0,2019
41-49,21+,0,0,1,0,21.0,2019
41-49,21+,0,1,0,0,,2019
41-49,21+,0,2,0,0,,2019
41-49,21+,0,3,0,0,,2019
41-49,21+,0,3,0,1,,2019
41-49,21+,0,4,0,0,,2019
41-49,21+,1,0,0,0,,2019
41-49,21+,1,1,0,0,2663.0,2019
41-49,21+,1,1,0,1,,2019
41-49,21+,1,1,1,0,56254.0,2019
41-49,21+,1,2,0,0,1827.0,2019
41-49,21+,1,2,0,1,46.0,2019
41-49,21+,1,3,0,0,515.0,2019
41-49,21+,1,3,0,1,97.0,2019
41-49,21+,1,4,0,0,361.0,2019
41-49,21+,1,4,0,1,29.0,2019
41-49,21+,2,1,0,0,1846.0,2019
41-49,21+,2,1,0,1,6.0,2019
41-49,21+,2,2,0,0,3860.0,2019
41-49,21+,2,2,0,1,146.0,2019
41-49,21+,2,2,1,0,78541.0,2019
41-49,21+,2,3,0,0,1306.0,2019
41-49,21+,2,3,0,1,361.0,2019
41-49,21+,2,4,0,0,926.0,2019
41-49,21+,2,4,0,1,98.0,2019
41-49,21+,3,1,0,0,439.0,2019
41-49,21+,3,1,0,1,,2019
41-49,21+,3,2,0,0,1491.0,2019
41-49,21+,3,2,0,1,71.0,2019
41-49,21+,3,3,0,0,2028.0,2019
41-49,21+,3,3,0,1,367.0,2019
41-49,21+,3,3,1,0,46210.0,2019
41-49,21+,3,4,0,0,2355.0,2019
41-49,21+,3,4,0,1,270.0,2019
41-49,21+,4,1,0,0,264.0,2019
41-49,21+,4,2,0,0,688.0,2019
41-49,21+,4,2,0,1,63.0,2019
41-49,21+,4,3,0,0,1985.0,2019
41-49,21+,4,3,0,1,619.0,2019
41-49,21+,4,4,0,0,5274.0,2019
41-49,21+,4,4,0,1,637.0,2019
41-49,21+,4,4,1,0,63521.0,2019
41-49,3-5,1,1,0,0,73.0,2019
41-49,3-5,1,1,1,0,1446.0,2019
41-49,3-5,1,2,0,0,60.0,2019
41-49,3-5,1,2,0,1,,2019
41-49,3-5,1,3,0,0,28.0,2019
41-49,3-5,1,4,0,0,14.0,2019
41-49,3-5,1,4,0,1,,2019
41-49,3-5,2,1,0,0,65.0,2019
41-49,3-5,2,2,0,0,398.0,2019
41-49,3-5,2,2,0,1,,2019
41-49,3-5,2,2,1,0,5320.0,2019
41-49,3-5,2,3,0,0,96.0,2019
41-49,3-5,2,3,0,1,39.0,2019
41-49,3-5,2,4,0,0,76.0,2019
41-49,3-5,2,4,0,1,6.0,2019
41-49,3-5,3,0,0,0,,2019
41-49,3-5,3,1,0,0,15.0,2019
41-49,3-5,3,2,0,0,148.0,2019
41-49,3-5,3,3,0,0,314.0,2019
41-49,3-5,3,3,0,1,68.0,2019
41-49,3-5,3,3,1,0,6108.0,2019
41-49,3-5,3,4,0,0,293.0,2019
41-49,3-5,3,4,0,1,9.0,2019
41-49,3-5,4,1,0,0,17.0,2019
41-49,3-5,4,2,0,0,66.0,2019
41-49,3-5,4,2,0,1,,2019
41-49,3-5,4,3,0,0,230.0,2019
41-49,3-5,4,3,0,1,56.0,2019
41-49,3-5,4,4,0,0,486.0,2019
41-49,3-5,4,4,0,1,47.0,2019
41-49,3-5,4,4,1,0,7009.0,2019
41-49,6-10,0,0,1,0,,2019
41-49,6-10,1,1,0,0,110.0,2019
41-49,6-10,1,1,0,1,,2019
41-49,6-10,1,1,1,0,2505.0,2019
41-49,6-10,1,2,0,0,125.0,2019
41-49,6-10,1,2,0,1,,2019
41-49,6-10,1,3,0,0,30.0,2019
41-49,6-10,1,3,0,1,7.0,2019
41-49,6-10,1,4,0,0,34.0,2019
41-49,6-10,1,4,0,1,,2019
41-49,6-10,2,1,0,0,113.0,2019
41-49,6-10,2,1,0,1,,2019
41-49,6-10,2,2,0,0,700.0,2019
41-49,6-10,2,2,0,1,10.0,2019
41-49,6-10,2,2,1,0,9654.0,2019
41-49,6-10,2,3,0,0,181.0,2019
41-49,6-10,2,3,0,1,90.0,2019
41-49,6-10,2,4,0,0,193.0,2019
41-49,6-10,2,4,0,1,8.0,2019
41-49,6-10,3,0,0,0,,2019
41-49,6-10,3,1,0,0,39.0,2019
41-49,6-10,3,1,0,1,,2019
41-49,6-10,3,2,0,0,248.0,2019
41-49,6-10,3,2,0,1,5.0,2019
41-49,6-10,3,3,0,0,667.0,2019
41-49,6-10,3,3,0,1,126.0,2019
41-49,6-10,3,3,1,0,12112.0,2019
41-49,6-10,3,4,0,0,596.0,2019
41-49,6-10,3,4,0,1,31.0,2019
41-49,6-10,4,1,0,0,31.0,2019
41-49,6-10,4,2,0,0,136.0,2019
41-49,6-10,4,2,0,1,5.0,2019
41-49,6-10,4,3,0,0,523.0,2019
41-49,6-10,4,3,0,1,126.0,2019
41-49,6-10,4,4,0,0,1134.0,2019
41-49,6-10,4,4,0,1,123.0,2019
41-49,6-10,4,4,1,0,15689.0,2019
41-49,na,0,0,1,0,,2019
41-49,na,1,0,0,0,,2019
41-49,na,1,1,0,0,1285.0,2019
41-49,na,1,1,1,0,29500.0,2019
41-49,na,1,2,0,0,1015.0,2019
41-49,na,1,2,0,1,7.0,2019
41-49,na,1,3,0,0,165.0,2019
41-49,na,1,3,0,1,20.0,2019
41-49,na,1,4,0,0,92.0,2019
41-49,na,1,4,0,1,,2019
41-49,na,2,1,0,0,1030.0,2019
41-49,na,2,2,0,0,1961.0,2019
41-49,na,2,2,0,1,20.0,2019
41-49,na,2,2,1,0,38461.0,2019
41-49,na,2,3,0,0,376.0,2019
41-49,na,2,3,0,1,55.0,2019
41-49,na,2,4,0,0,221.0,2019
41-49,na,2,4,0,1,21.0,2019
41-49,na,3,1,0,0,163.0,2019
41-49,na,3,1,0,1,,2019
41-49,na,3,2,0,0,432.0,2019
41-49,na,3,2,0,1,6.0,2019
41-49,na,3,3,0,0,541.0,2019
41-49,na,3,3,0,1,107.0,2019
41-49,na,3,3,1,0,12382.0,2019
41-49,na,3,4,0,0,368.0,2019
41-49,na,3,4,0,1,26.0,2019
41-49,na,4,1,0,0,89.0,2019
41-49,na,4,2,0,0,199.0,2019
41-49,na,4,2,0,1,7.0,2019
41-49,na,4,3,0,0,364.0,2019
41-49,na,4,3,0,1,82.0,2019
41-49,na,4,4,0,0,900.0,2019
41-49,na,4,4,0,1,86.0,2019
41-49,na,4,4,1,0,9735.0,2019
50+,0-2,1,1,0,0,24.0,2019
50+,0-2,1,1,1,0,684.0,2019
50+,0-2,1,2,0,0,53.0,2019
50+,0-2,1,3,0,0,19.0,2019
50+,0-2,1,3,0,1,,2019
50+,0-2,1,4,0,0,,2019
50+,0-2,2,1,0,0,41.0,2019
50+,0-2,2,2,0,0,185.0,2019
50+,0-2,2,2,1,0,2534.0,2019
50+,0-2,2,3,0,0,86.0,2019
50+,0-2,2,3,0,1,16.0,2019
50+,0-2,2,4,0,0,51.0,2019
50+,0-2,2,4,0,1,,2019
50+,0-2,3,1,0,0,12.0,2019
50+,0-2,3,2,0,0,70.0,2019
50+,0-2,3,3,0,0,102.0,2019
50+,0-2,3,3,0,1,20.0,2019
50+,0-2,3,3,1,0,2515.0,2019
50+,0-2,3,4,0,0,123.0,2019
50+,0-2,3,4,0,1,,2019
50+,0-2,4,1,0,0,5.0,2019
50+,0-2,4,2,0,0,29.0,2019
50+,0-2,4,3,0,0,103.0,2019
50+,0-2,4,3,0,1,17.0,2019
50+,0-2,4,4,0,0,129.0,2019
50+,0-2,4,4,0,1,13.0,2019
50+,0-2,4,4,1,0,2556.0,2019
50+,11-20,0,0,1,0,11.0,2019
50+,11-20,0,3,0,1,,2019
50+,11-20,1,1,0,0,204.0,2019
50+,11-20,1,1,1,0,6090.0,2019
50+,11-20,1,2,0,0,201.0,2019
50+,11-20,1,2,0,1,,2019
50+,11-20,1,3,0,0,60.0,2019
50+,11-20,1,3,0,1,5.0,2019
50+,11-20,1,4,0,0,44.0,2019
50+,11-20,1,4,0,1,,2019
50+,11-20,2,1,0,0,205.0,2019
50+,11-20,2,1,0,1,,2019
50+,11-20,2,2,0,0,1172.0,2019
50+,11-20,2,2,0,1,12.0,2019
50+,11-20,2,2,1,0,22611.0,2019
50+,11-20,2,3,0,0,310.0,2019
50+,11-20,2,3,0,1,131.0,2019
50+,11-20,2,4,0,0,263.0,2019
50+,11-20,2,4,0,1,10.0,2019
50+,11-20,3,0,0,0,,2019
50+,11-20,3,1,0,0,70.0,2019
50+,11-20,3,2,0,0,506.0,2019
50+,11-20,3,2,0,1,,2019
50+,11-20,3,3,0,0,1023.0,2019
50+,11-20,3,3,0,1,138.0,2019
50+,11-20,3,3,1,0,25855.0,2019
50+,11-20,3,4,0,0,988.0,2019
50+,11-20,3,4,0,1,36.0,2019
50+,11-20,4,1,0,0,66.0,2019
50+,11-20,4,2,0,0,260.0,2019
50+,11-20,4,2,0,1,13.0,2019
50+,11-20,4,3,0,0,835.0,2019
50+,11-20,4,3,0,1,204.0,2019
50+,11-20,4,4,0,0,1771.0,2019
50+,11-20,4,4,0,1,254.0,2019
50+,11-20,4,4,1,0,33558.0,2019
50+,21+,0,0,1,0,76.0,2019
50+,21+,0,1,0,0,,2019
50+,21+,0,2,0,0,5.0,2019
50+,21+,0,3,0,0,,2019
50+,21+,0,3,0,1,,2019
50+,21+,0,4,0,0,,2019
50+,21+,1,1,0,0,3902.0,2019
50+,21+,1,1,0,1,11.0,2019
50+,21+,1,1,1,0,114775.0,2019
50+,21+,1,2,0,0,2559.0,2019
50+,21+,1,2,0,1,23.0,2019
50+,21+,1,3,0,0,606.0,2019
50+,21+,1,3,0,1,123.0,2019
50+,21+,1,4,0,0,441.0,2019
50+,21+,1,4,0,1,36.0,2019
50+,21+,2,0,0,0,,2019
50+,21+,2,1,0,0,2807.0,2019
50+,21+,2,1,0,1,7.0,2019
50+,21+,2,2,0,0,5889.0,2019
50+,21+,2,2,0,1,134.0,2019
50+,21+,2,2,1,0,164696.0,2019
50+,21+,2,3,0,0,1912.0,2019
50+,21+,2,3,0,1,433.0,2019
50+,21+,2,4,0,0,1323.0,2019
50+,21+,2,4,0,1,93.0,2019
50+,21+,3,0,0,0,,2019
50+,21+,3,1,0,0,808.0,2019
50+,21+,3,1,0,1,,2019
50+,21+,3,2,0,0,2855.0,2019
50+,21+,3,2,0,1,67.0,2019
50+,21+,3,3,0,0,4414.0,2019
50+,21+,3,3,0,1,513.0,2019
50+,21+,3,3,1,0,119218.0,2019
50+,21+,3,4,0,0,4513.0,2019
50+,21+,3,4,0,1,299.0,2019
50+,21+,4,1,0,0,515.0,2019
50+,21+,4,1,0,1,,2019
50+,21+,4,2,0,0,1454.0,2019
50+,21+,4,2,0,1,77.0,2019
50+,21+,4,3,0,0,3840.0,2019
50+,21+,4,3,0,1,923.0,2019
50+,21+,4,4,0,0,10047.0,2019
50+,21+,4,4,0,1,1043.0,2019
50+,21+,4,4,1,0,163357.0,2019
50+,3-5,0,0,1,0,,2019
50+,3-5,0,3,0,1,,2019
50+,3-5,1,1,0,0,33.0,2019
50+,3-5,1,1,1,0,982.0,2019
50+,3-5,1,2,0,0,36.0,2019
50+,3-5,1,3,0,0,12.0,2019
50+,3-5,1,4,0,0,10.0,2019
50+,3-5,1,4,0,1,,2019
50+,3-5,2,1,0,0,49.0,2019
50+,3-5,2,2,0,0,205.0,2019
50+,3-5,2,2,0,1,,2019
50+,3-5,2,2,1,0,3387.0,2019
50+,3-5,2,3,0,0,65.0,2019
50+,3-5,2,3,0,1,18.0,2019
50+,3-5,2,4,0,0,39.0,2019
50+,3-5,2,4,0,1,,2019
50+,3-5,3,1,0,0,13.0,2019
50+,3-5,3,2,0,0,72.0,2019
50+,3-5,3,2,0,1,,2019
50+,3-5,3,3,0,0,152.0,2019
50+,3-5,3,3,0,1,30.0,2019
50+,3-5,3,3,1,0,3964.0,2019
50+,3-5,3,4,0,0,153.0,2019
50+,3-5,3,4,0,1,,2019
50+,3-5,4,1,0,0,7.0,2019
50+,3-5,4,1,0,1,,2019
50+,3-5,4,2,0,0,36.0,2019
50+,3-5,4,3,0,0,125.0,2019
50+,3-5,4,3,0,1,28.0,2019
50+,3-5,4,4,0,0,195.0,2019
50+,3-5,4,4,0,1,24.0,2019
50+,3-5,4,4,1,0,3917.0,2019
50+,6-10,0,0,1,0,,2019
50+,6-10,1,1,0,0,64.0,2019
50+,6-10,1,1,1,0,2078.0,2019
50+,6-10,1,2,0,0,72.0,2019
50+,6-10,1,2,0,1,,2019
50+,6-10,1,3,0,0,18.0,2019
50+,6-10,1,3,0,1,,2019
50+,6-10,1,4,0,0,25.0,2019
50+,6-10,2,0,0,0,,2019
50+,6-10,2,1,0,0,90.0,2019
50+,6-10,2,2,0,0,512.0,2019
50+,6-10,2,2,0,1,,2019
50+,6-10,2,2,1,0,7757.0,2019
50+,6-10,2,3,0,0,117.0,2019
50+,6-10,2,3,0,1,50.0,2019
50+,6-10,2,4,0,0,104.0,2019
50+,6-10,2,4,0,1,7.0,2019
50+,6-10,3,1,0,0,26.0,2019
50+,6-10,3,2,0,0,172.0,2019
50+,6-10,3,2,0,1,,2019
50+,6-10,3,3,0,0,293.0,2019
50+,6-10,3,3,0,1,48.0,2019
50+,6-10,3,3,1,0,8577.0,2019
50+,6-10,3,4,0,0,281.0,2019
50+,6-10,3,4,0,1,6.0,2019
50+,6-10,4,1,0,0,19.0,2019
50+,6-10,4,2,0,0,90.0,2019
50+,6-10,4,2,0,1,,2019
50+,6-10,4,3,0,0,263.0,2019
50+,6-10,4,3,0,1,44.0,2019
50+,6-10,4,4,0,0,445.0,2019
50+,6-10,4,4,0,1,55.0,2019
50+,6-10,4,4,1,0,8629.0,2019
50+,na,0,0,1,0,12.0,2019
50+,na,0,1,0,0,,2019
50+,na,0,2,0,0,,2019
50+,na,1,1,0,0,2459.0,2019
50+,na,1,1,0,1,,2019
50+,na,1,1,1,0,78398.0,2019
50+,na,1,2,0,0,1521.0,2019
50+,na,1,2,0,1,13.0,2019
50+,na,1,3,0,0,271.0,2019
50+,na,1,3,0,1,35.0,2019
50+,na,1,4,0,0,207.0,2019
50+,na,1,4,0,1,13.0,2019
50+,na,2,1,0,0,1732.0,2019
50+,na,2,1,0,1,,2019
50+,na,2,2,0,0,3192.0,2019
50+,na,2,2,0,1,23.0,2019
50+,na,2,2,1,0,90828.0,2019
50+,na,2,3,0,0,664.0,2019
50+,na,2,3,0,1,105.0,2019
50+,na,2,4,0,0,379.0,2019
50+,na,2,4,0,1,24.0,2019
50+,na,3,1,0,0,303.0,2019
50+,na,3,2,0,0,797.0,2019
50+,na,3,2,0,1,11.0,2019
50+,na,3,3,0,0,888.0,2019
50+,na,3,3,0,1,114.0,2019
50+,na,3,3,1,0,27757.0,2019
50+,na,3,4,0,0,759.0,2019
50+,na,3,4,0,1,29.0,2019
50+,na,4,1,0,0,212.0,2019
50+,na,4,2,0,0,405.0,2019
50+,na,4,2,0,1,11.0,2019
50+,na,4,3,0,0,732.0,2019
50+,na,4,3,0,1,114.0,2019
50+,na,4,4,0,0,1581.0,2019
50+,na,4,4,0,1,142.0,2019
50+,na,4,4,1,0,27982.0,2019
22-25,0-2,0,0,1,0,,2020
22-25,0-2,0,1,0,0,,2020
22-25,0-2,1,1,0,0,548.0,2020
22-25,0-2,1,1,1,0,4401.0,2020
22-25,0-2,1,2,0,0,1267.0,2020
22-25,0-2,1,2,0,1,11.0,2020
22-25,0-2,1,3,0,0,365.0,2020
22-25,0-2,1,3,0,1,11.0,2020
22-25,0-2,1,4,0,0,496.0,2020
22-25,0-2,1,4,0,1,,2020
22-25,0-2,2,1,0,0,862.0,2020
22-25,0-2,2,2,0,0,2109.0,2020
22-25,0-2,2,2,0,1,10.0,2020
22-25,0-2,2,2,1,0,16082.0,2020
22-25,0-2,2,3,0,0,1461.0,2020
22-25,0-2,2,3,0,1,52.0,2020
22-25,0-2,2,4,0,0,1878.0,2020
22-25,0-2,2,4,0,1,,2020
22-25,0-2,3,1,0,0,113.0,2020
22-25,0-2,3,2,0,0,483.0,2020
22-25,0-2,3,2,0,1,6.0,2020
22-25,0-2,3,3,0,0,742.0,2020
22-25,0-2,3,3,0,1,29.0,2020
22-25,0-2,3,3,1,0,6481.0,2020
22-25,0-2,3,4,0,0,1176.0,2020
22-25,0-2,3,4,0,1,5.0,2020
22-25,0-2,4,1,0,0,110.0,2020
22-25,0-2,4,2,0,0,407.0,2020
22-25,0-2,4,2,0,1,,2020
22-25,0-2,4,3,0,0,677.0,2020
22-25,0-2,4,3,0,1,41.0,2020
22-25,0-2,4,4,0,0,2300.0,2020
22-25,0-2,4,4,0,1,40.0,2020
22-25,0-2,4,4,1,0,10027.0,2020
22-25,11-20,1,1,0,0,,2020
22-25,11-20,1,1,1,0,8.0,2020
22-25,11-20,1,2,0,0,,2020
22-25,11-20,2,1,0,0,,2020
22-25,11-20,2,2,0,0,,2020
22-25,11-20,2,2,1,0,7.0,2020
22-25,3-5,0,0,1,0,,2020
22-25,3-5,0,1,0,0,,2020
22-25,3-5,0,2,0,0,,2020
22-25,3-5,1,0,0,0,,2020
22-25,3-5,1,1,0,0,2179.0,2020
22-25,3-5,1,1,1,0,15392.0,2020
22-25,3-5,1,2,0,0,1513.0,2020
22-25,3-5,1,2,0,1,35.0,2020
22-25,3-5,1,3,0,0,280.0,2020
22-25,3-5,1,3,0,1,8.0,2020
22-25,3-5,1,4,0,0,284.0,2020
22-25,3-5,1,4,0,1,,2020
22-25,3-5,2,1,0,0,1475.0,2020
22-25,3-5,2,2,0,0,2793.0,2020
22-25,3-5,2,2,0,1,17.0,2020
22-25,3-5,2,2,1,0,27435.0,2020
22-25,3-5,2,3,0,0,743.0,2020
22-25,3-5,2,3,0,1,38.0,2020
22-25,3-5,2,4,0,0,613.0,2020
22-25,3-5,2,4,0,1,14.0,2020
22-25,3-5,3,1,0,0,214.0,2020
22-25,3-5,3,2,0,0,621.0,2020
22-25,3-5,3,2,0,1,5.0,2020
22-25,3-5,3,3,0,0,337.0,2020
22-25,3-5,3,3,0,1,11.0,2020
22-25,3-5,3,3,1,0,4267.0,2020
22-25,3-5,3,4,0,0,423.0,2020
22-25,3-5,3,4,0,1,9.0,2020
22-25,3-5,4,1,0,0,118.0,2020
22-25,3-5,4,2,0,0,338.0,2020
22-25,3-5,4,2,0,1,,2020
22-25,3-5,4,3,0,0,378.0,2020
22-25,3-5,4,3,0,1,19.0,2020
22-25,3-5,4,4,0,0,565.0,2020
22-25,3-5,4,4,0,1,7.0,2020
22-25,3-5,4,4,1,0,4508.0,2020
22-25,6-10,0,2,0,0,,2020
22-25,6-10,1,1,0,0,791.0,2020
22-25,6-10,1,1,1,0,6384.0,2020
22-25,6-10,1,2,0,0,562.0,2020
22-25,6-10,1,2,0,1,20.0,2020
22-25,6-10,1,3,0,0,101.0,2020
22-25,6-10,1,3,0,1,6.0,2020
22-25,6-10,1,4,0,0,87.0,2020
22-25,6-10,1,4,0,1,,2020
22-25,6-10,2,1,0,0,522.0,2020
22-25,6-10,2,2,0,0,891.0,2020
22-25,6-10,2,2,0,1,11.0,2020
22-25,6-10,2,2,1,0,10375.0,2020
22-25,6-10,2,3,0,0,232.0,2020
22-25,6-10,2,3,0,1,17.0,2020
22-25,6-10,2,4,0,0,226.0,2020
22-25,6-10,2,4,0,1,5.0,2020
22-25,6-10,3,1,0,0,69.0,2020
22-25,6-10,3,2,0,0,178.0,2020
22-25,6-10,3,2,0,1,,2020
22-25,6-10,3,3,0,0,122.0,2020
22-25,6-10,3,3,0,1,,2020
22-25,6-10,3,3,1,0,1567.0,2020
22-25,6-10,3,4,0,0,149.0,2020
22-25,6-10,3,4,0,1,,2020
22-25,6-10,4,1,0,0,34.0,2020
22-25,6-10,4,2,0,0,112.0,2020
22-25,6-10,4,2,0,1,,2020
22-25,6-10,4,3,0,0,126.0,2020
22-25,6-10,4,3,0,1,9.0,2020
22-25,6-10,4,4,0,0,169.0,2020
22-25,6-10,4,4,0,1,6.0,2020
22-25,6-10,4,4,1,0,1553.0,2020
22-25,na,1,1,0,0,456.0,2020
22-25,na,1,1,1,0,3009.0,2020
22-25,na,1,2,0,0,421.0,2020
22-25,na,1,2,0,1,10.0,2020
22-25,na,1,3,0,0,27.0,2020
22-25,na,1,3,0,1,,2020
22-25,na,1,4,0,0,24.0,2020
22-25,na,1,4,0,1,,2020
22-25,na,2,1,0,0,389.0,2020
22-25,na,2,2,0,0,970.0,2020
22-25,na,2,2,0,1,,2020
22-25,na,2,2,1,0,5726.0,2020
22-25,na,2,3,0,0,76.0,2020
22-25,na,2,3,0,1,,2020
22-25,na,2,4,0,0,45.0,2020
22-25,na,3,1,0,0,34.0,2020
22-25,na,3,2,0,0,73.0,2020
