inr,expband,fresh,n,ws,wh
145a,11-20,1,5140.0,377928.73353100003,2797.0
145a,21+,0,528.0,39655.839803,262.0
145a,21+,1,2811.0,205289.1374309,1373.0
145a,3-5,0,29.0,2174.0899689999997,15.0
145a,3-5,1,686.0,51195.189143,371.0
145a,6-10,0,84.0,6215.60994,42.0
145a,6-10,1,1552.0,115222.92830700001,790.0
145a,na,0,45.0,2624.959978,13.0
145a,na,1,46.0,2693.169939,18.0
145b,0-2,0,32.0,2245.859981,14.0
145b,0-2,1,916.0,67469.68855199999,554.0
145b,11-20,0,412.0,28780.1298927,151.0
145b,11-20,1,5355.0,387473.8234876,2677.0
145b,21+,0,453.0,33638.379793,191.0
145b,21+,1,2213.0,163056.107617,1125.0
145b,3-5,0,36.0,2696.1799680000004,17.0
145b,3-5,1,1059.0,78979.168542,607.0
145b,6-10,0,92.0,6853.879913,47.0
145b,6-10,1,2076.0,152539.727442,1059.0
145c,0-2,0,60.0,4449.639939000001,26.0
145c,0-2,1,1187.0,88599.778154,735.0
145c,11-20,0,465.0,32338.959711,191.0
145c,11-20,1,5557.0,407722.02325759997,2941.0
145c,21+,0,623.0,46143.4497,284.0
145c,21+,1,3233.0,236915.1769738,1617.0
145c,3-5,0,65.0,4836.529918,33.0
145c,3-5,1,1361.0,100891.958228,741.0
145c,6-10,0,189.0,12891.2999324,57.0
145c,6-10,1,2727.0,201829.106414,1497.0
145c,na,0,33.0,2478.829953,20.0
145c,na,1,44.0,3307.3199320000003,28.0
145d,0-2,1,80.0,5993.539924000001,39.0
145d,11-20,0,16.0,1185.760016,0.0
145d,11-20,1,329.0,24352.259757,124.0
145d,21+,0,14.0,1037.540014,0.0
145d,21+,1,84.0,6190.879956,26.0
145d,3-5,1,71.0,5319.909931,35.0
145d,6-10,1,170.0,12620.159854,71.0
145e,0-2,1,71.0,5334.849894999999,44.0
145e,11-20,0,14.0,1052.479978,9.0
145e,11-20,1,258.0,18975.639804,96.0
145e,21+,1,26.0,1945.119982,11.0
145e,3-5,1,94.0,7069.259846000001,62.0
145e,6-10,0,13.0,976.709981,8.0
145e,6-10,1,184.0,13690.129817000001,85.0
145f,0-2,0,26.0,1951.759966,15.0
145f,0-2,1,906.0,67183.688784,500.0
145f,11-20,0,173.0,12867.389912,67.0
145f,11-20,1,3378.0,247484.616909,1479.0
145f,21+,0,161.0,12145.309948999999,63.0
145f,21+,1,751.0,55832.529617,303.0
145f,3-5,0,47.0,3490.849975,16.0
145f,3-5,1,999.0,74105.858851,504.0
145f,6-10,0,87.0,6590.829942,39.0
145f,6-10,1,1849.0,137094.378268,847.0
145f,na,1,13.0,976.709981,8.0
145g,0-2,1,112.0,8438.09978,83.0
145g,11-20,0,13.0,985.0099610000001,13.0
145g,11-20,1,431.0,31943.869293,259.0
145g,21+,1,205.0,15076.089581,132.0
145g,3-5,1,161.0,12107.669737,106.0
145g,6-10,1,287.0,21424.739493,188.0
145h,0-2,1,296.0,22340.719282,252.0
145h,11-20,0,17.0,1276.469977,10.0
145h,11-20,1,614.0,45282.10908,359.0
145h,21+,1,33.0,2485.4699370000003,24.0
145h,3-5,1,371.0,27630.829246,268.0
145h,6-10,0,19.0,1424.689979,10.0
145h,6-10,1,602.0,44632.3889,396.0
145i,0-2,1,211.0,15907.789559,163.0
145i,11-20,0,44.0,3317.2799080000004,34.0
145i,11-20,1,885.0,65421.538599,526.0
145i,21+,0,50.0,3739.039909,33.0
145i,21+,1,411.0,30398.469249000005,270.0
145i,3-5,0,14.0,1052.479978,9.0
145i,3-5,1,332.0,24998.979328,249.0
145i,6-10,0,19.0,1428.009971,12.0
145i,6-10,1,629.0,46846.448827,422.0
145x,0-2,0,4000.0,190703.0905022,738.0
145x,0-2,1,5092.0,286737.2978898,1630.0
145x,11-20,0,455.0,30710.299957,212.0
145x,11-20,1,2339.0,157276.1185447,963.0
145x,21+,0,3796.0,275875.4890096,1570.0
145x,21+,1,3254.0,217190.7892519,1182.0
145x,3-5,0,256.0,14076.4500548,64.0
145x,3-5,1,863.0,52971.7693806,363.0
145x,6-10,0,229.0,15081.580036,76.0
145x,6-10,1,1354.0,94911.69893500001,621.0
145x,na,0,162.0,9102.2798962,58.0
145x,na,1,151.0,8082.2399468,43.0
146a,11-20,0,46.0,2567.279927,5.0
146a,11-20,1,287.0,16269.079494,47.0
146a,21+,0,1156.0,62756.6386968,210.0
146a,21+,1,1264.0,64878.20866276,200.0
146a,3-5,1,29.0,1539.249937,5.0
146a,6-10,0,26.0,1257.099948,0.0
146a,6-10,1,271.0,14893.009500999999,35.0
146a,na,1,14.0,299.34,0.0
146b,11-20,1,50.0,2895.869917,7.0
146b,21+,0,148.0,9897.169871,47.0
146b,21+,1,117.0,7273.609893,24.0
146b,6-10,1,14.0,805.699987,0.0
146c,11-20,1,77.0,4599.619839,22.0
146c,21+,1,11.0,531.849978,0.0
146c,6-10,1,65.0,3793.8798970000003,16.0
146d,11-20,1,46.0,2676.959923,9.0
146d,21+,0,93.0,4511.609971899999,15.0
146d,21+,1,250.0,9836.2398939,20.0
146d,6-10,1,19.0,1047.449977,0.0
146e,11-20,0,29.0,1556.7099600000001,0.0
146e,11-20,1,209.0,12189.219776,23.0
146e,21+,0,1441.0,82115.699848,317.0
146e,21+,1,918.0,50881.659528,159.0
146e,3-5,1,24.0,1340.719973,0.0
146e,6-10,1,100.0,5632.189842,9.0
146e,na,0,92.0,5132.42997,18.0
146e,na,1,26.0,735.76,0.0
146f,11-20,1,21.0,1569.589989,8.0
146f,3-5,1,12.0,889.3200119999999,0.0
146f,6-10,1,30.0,2272.76001,11.0
146g,0-2,0,12.0,889.139979,7.0
146g,0-2,1,360.0,26729.019437,207.0
146g,11-20,0,72.0,5279.639989,20.0
146g,11-20,1,1074.0,77763.229138,404.0
146g,21+,0,993.0,68792.939625,271.0
146g,21+,1,3094.0,219762.238642,982.0
146g,3-5,0,43.0,3193.969952,20.0
146g,3-5,1,539.0,39530.159231000005,278.0
146g,6-10,0,46.0,3303.989969,14.0
146g,6-10,1,674.0,49221.979302,273.0
146g,na,0,260.0,18519.749920000002,57.0
146g,na,1,155.0,10174.019968999999,13.0
146h,0-2,1,79.0,5962.589819000001,65.0
146h,11-20,0,26.0,1643.7399670000002,14.0
146h,11-20,1,328.0,24295.849481,209.0
146h,21+,0,306.0,21691.509798,149.0
146h,21+,1,741.0,51341.47935,335.0
146h,3-5,1,105.0,7909.369796999999,77.0
146h,6-10,1,168.0,12338.799761999999,89.0
146h,na,0,27.0,2032.509951,19.0
146h,na,1,25.0,1455.409985,5.0
146i,0-2,1,27.0,1984.2699870000001,7.0
146i,21+,0,48.0,3326.430029,8.0
146i,21+,1,97.0,7192.289962,34.0
146i,3-5,1,85.0,6048.969989,13.0
146i,6-10,1,25.0,1699.409981,8.0
146j,0-2,1,134.0,10153.179598,134.0
146j,11-20,0,26.0,1970.0199220000002,26.0
146j,11-20,1,376.0,28275.018955,344.0
146j,21+,0,786.0,55361.718345999994,579.0
146j,21+,1,1564.0,108294.5766595,1147.0
146j,3-5,1,173.0,13108.209481,173.0
146j,6-10,0,18.0,1363.859946,18.0
146j,6-10,1,145.0,10918.549571000001,139.0
146j,na,0,287.0,20646.889293999997,240.0
146j,na,1,120.0,5820.879833,55.0
146k,0-2,1,170.0,12831.099610000001,140.0
146k,11-20,0,64.0,3611.679967,21.0
146k,11-20,1,1086.0,78750.82822,666.0
146k,21+,0,1082.0,75033.0491165,531.0
146k,21+,1,2074.0,143892.937776,975.0
146k,3-5,1,177.0,13221.979614,135.0
146k,6-10,0,18.0,1115.639974,11.0
146k,6-10,1,563.0,41572.968996,381.0
146k,na,0,50.0,3680.829925,26.0
146k,na,1,22.0,1647.0199819999998,10.0
146l,0-2,1,29.0,2197.329913,29.0
146l,11-20,1,35.0,2651.949895,35.0
146l,21+,0,259.0,17542.099548600003,152.0
146l,21+,1,668.0,46651.7186126,456.0
146l,3-5,1,42.0,3182.3398740000002,42.0
146l,6-10,1,55.0,4167.349835,55.0
146l,na,0,123.0,8433.429729,85.0
146l,na,1,49.0,2220.719963,14.0
146x,0-2,0,509.0,23829.5099794,54.0
146x,0-2,1,1566.0,87161.70784470001,232.0
146x,11-20,0,150.0,9512.269905,34.0
146x,11-20,1,808.0,53343.22905,265.0
146x,21+,0,58.0,3537.169927,20.0
146x,21+,1,167.0,10284.239765999999,66.0
146x,3-5,0,267.0,15335.389791000001,14.0
146x,3-5,1,970.0,55948.308565,169.0
146x,6-10,0,404.0,23705.44963,27.0
146x,6-10,1,1402.0,88836.188144,445.0
146x,na,0,15.0,708.650015,0.0
146x,na,1,52.0,2325.1399978,11.0
149a,0-2,0,35.0,2222.109988,6.0
149a,0-2,1,1157.0,71762.177988,96.0
149a,11-20,0,1260.0,79165.718011,146.0
149a,11-20,1,3517.0,219897.39429,344.0
149a,21+,0,2703.0,172446.6263,561.0
149a,21+,1,1527.0,90328.1980296,220.0
149a,3-5,0,23.0,1390.959974,0.0
149a,3-5,1,1082.0,67343.357976,75.0
149a,6-10,0,70.0,4362.169879,9.0
149a,6-10,1,1389.0,87598.107508,126.0
149a,na,0,92.0,5647.429909,26.0
149a,na,1,18.0,1030.55997,6.0
149b,11-20,1,11.0,833.469967,11.0
149b,21+,0,142.0,10398.789709,110.0
149b,21+,1,229.0,17026.4394,190.0
149b,na,1,27.0,2045.789919,27.0
149c,21+,0,23.0,1466.019992,0.0
149d,0-2,1,1648.0,104703.1066,306.0
149d,11-20,1,13.0,782.209974,0.0
149d,21+,1,18.0,1176.6599580000002,6.0
149d,3-5,0,13.0,782.209974,0.0
149d,3-5,1,1470.0,92720.997166,186.0
149d,6-10,0,34.0,2201.779922,10.0
149d,6-10,1,809.0,51244.348433,109.0
149x,0-2,0,978.0,51442.7701445,213.0
149x,0-2,1,3072.0,187852.4080463,1106.0
149x,11-20,0,3280.0,174609.3104465,821.0
149x,11-20,1,7755.0,412049.44903738,1956.0
149x,21+,0,1786.0,91098.990232,357.0
149x,21+,1,2647.0,127082.7694716,547.0
149x,3-5,0,337.0,19134.4900036,93.0
149x,3-5,1,1254.0,78128.0092027,480.0
149x,6-10,0,1587.0,84374.2301043,381.0
149x,6-10,1,4017.0,225291.9590912,1115.0
149x,na,0,1101.0,47319.850179400004,173.0
149x,na,1,2203.0,92123.6593717,345.0
210z,0-2,0,19.0,711.28,0.0
210z,0-2,1,12.0,778.740006,6.0
210z,3-5,1,12.0,780.160019,5.0
210z,na,0,43.0,1260.2300195999999,6.0
210z,na,1,55.0,2118.8800303,5.0
211a,0-2,0,132.0,4613.5100647,7.0
211a,0-2,1,150.0,6077.9600267,9.0
211a,11-20,0,91.0,4568.330028,17.0
211a,11-20,1,348.0,19319.309993,94.0
211a,21+,0,552.0,29521.7098923,182.0
211a,21+,1,1081.0,55288.719883000005,269.0
211a,3-5,0,90.0,3197.190042,0.0
211a,3-5,1,205.0,9463.6600575,31.0
211a,6-10,0,152.0,7001.4900419000005,24.0
211a,6-10,1,282.0,13029.650020000001,37.0
211a,na,0,24.0,513.5499836,5.0
211a,na,1,48.0,2046.779988,6.0
211b,0-2,0,38.0,2614.24004,16.0
211b,0-2,1,46.0,3911.5800440000003,40.0
211b,11-20,0,90.0,7347.110124,67.0
211b,11-20,1,327.0,27099.930260999998,274.0
211b,21+,0,43.0,3696.410073,43.0
211b,21+,1,127.0,10514.610187999999,116.0
211b,3-5,0,37.0,2785.070059,22.0
211b,3-5,1,110.0,8678.040141,78.0
211b,6-10,0,58.0,4193.980063,30.0
211b,6-10,1,208.0,16569.880224,159.0
211x,0-2,0,51.0,2114.9100139,11.0
211x,0-2,1,31.0,1413.900033,5.0
211x,na,0,36.0,893.8899987,0.0
211x,na,1,56.0,2480.9299709,13.0
212a,0-2,0,184.0,8963.8100797,31.0
212a,0-2,1,542.0,31799.0400888,46.0
212a,11-20,0,100.0,6554.300014,18.0
212a,11-20,1,644.0,43288.189935,80.0
212a,21+,0,459.0,31216.110013,91.0
212a,21+,1,1413.0,93443.279931,181.0
212a,3-5,0,208.0,11155.070113900001,27.0
212a,3-5,1,522.0,32162.289997,47.0
212a,6-10,0,229.0,12811.4701139,30.0
212a,6-10,1,714.0,45470.150045999995,94.0
212a,na,0,77.0,5162.660006,0.0
212a,na,1,51.0,3274.25,0.0
212b,0-2,0,116.0,4423.1200377000005,5.0
212b,0-2,1,121.0,5927.77009,6.0
212b,11-20,0,367.0,23704.7403604,114.0
212b,11-20,1,512.0,35128.230195,186.0
212b,21+,0,461.0,31290.620436,101.0
212b,21+,1,374.0,25221.870103,130.0
212b,3-5,0,76.0,3852.570032,10.0
212b,3-5,1,78.0,3527.970058,5.0
212b,6-10,0,193.0,9552.6401435,32.0
212b,6-10,1,144.0,8984.82007,30.0
212c,0-2,1,25.0,1904.869975,19.0
212c,11-20,0,66.0,5804.820039,66.0
212c,11-20,1,201.0,16582.590089,166.0
212c,21+,0,34.0,3034.540041,34.0
212c,21+,1,103.0,8753.810035999999,93.0
212c,3-5,0,19.0,1232.32002,8.0
212c,3-5,1,47.0,3141.290062,25.0
212c,6-10,0,32.0,2450.420019,20.0
