inr,expband,fresh,n,ws,wh
010c,0-2,0,1279.0,49042.7805655,114.0
010c,0-2,1,732.0,30207.2803846,92.0
010c,11-20,0,83.0,6656.180075,50.0
010c,11-20,1,187.0,11756.450089,80.0
010c,21+,0,14.0,1105.190018,5.0
010c,21+,1,58.0,3854.600031,27.0
010c,3-5,0,55.0,2280.3900485,0.0
010c,3-5,1,53.0,3029.300076,15.0
010c,6-10,0,50.0,3056.31005,16.0
010c,6-10,1,80.0,4652.120049,28.0
140z,0-2,1,32.0,2775.8599959999997,27.0
140z,11-20,0,14.0,1164.779958,14.0
140z,11-20,1,139.0,10328.929824,83.0
140z,3-5,1,57.0,4964.409901,57.0
140z,6-10,1,117.0,9560.119818000001,99.0
140z,na,0,151.0,4623.7100096,7.0
140z,na,1,361.0,14587.8399998,48.0
142z,0-2,0,422.0,23177.7501477,126.0
142z,0-2,1,1718.0,118855.939812,879.0
142z,11-20,0,783.0,58913.139854,468.0
142z,11-20,1,3799.0,272982.4090076,2036.0
142z,21+,0,427.0,33584.870077,307.0
142z,21+,1,1047.0,75896.579881,611.0
142z,3-5,0,251.0,18291.009977,170.0
142z,3-5,1,1588.0,117374.129598,917.0
142z,6-10,0,441.0,33154.060049,277.0
142z,6-10,1,2555.0,183235.92894800002,1322.0
142z,na,0,40.0,1227.9299896,6.0
142z,na,1,105.0,4420.0699954,16.0
143a,0-2,0,610.0,31638.2105669,12.0
143a,0-2,1,7313.0,449280.393607,105.0
143a,11-20,0,459.0,28353.5106305,39.0
143a,11-20,1,6235.0,389829.1072371,520.0
143a,21+,0,6008.0,375728.7843491,1056.0
143a,21+,1,28386.0,1753860.1180871,2856.0
143a,3-5,0,555.0,32532.260782,22.0
143a,3-5,1,7005.0,431869.8724324,149.0
143a,6-10,0,677.0,41532.6209734,35.0
143a,6-10,1,7985.0,496806.4718276,430.0
143a,na,0,939.0,59361.1305013,178.0
143a,na,1,861.0,44385.9005255,66.0
143b,0-2,0,31.0,1709.5900000000001,0.0
143b,0-2,1,1736.0,110811.679187,285.0
143b,11-20,0,32.0,2088.6399859999997,8.0
143b,11-20,1,1394.0,89964.4492,310.0
143b,21+,0,1551.0,95559.1397858,362.0
143b,21+,1,7751.0,486630.7866415,1600.0
143b,3-5,0,35.0,2163.7,0.0
143b,3-5,1,1429.0,91654.29926,251.0
143b,6-10,0,47.0,3003.189979,7.0
143b,6-10,1,1459.0,94335.82903000001,317.0
143b,na,0,100.0,6330.029984000001,24.0
143b,na,1,108.0,5465.739944,18.0
143x,0-2,0,3416.0,150589.2511534,238.0
143x,0-2,1,7466.0,371765.7021301,686.0
143x,11-20,0,37.0,2318.74004,7.0
143x,11-20,1,553.0,31752.780427,47.0
143x,21+,0,73.0,4450.770032,20.0
143x,21+,1,370.0,20204.530032900002,68.0
143x,3-5,0,178.0,8255.3600775,14.0
143x,3-5,1,776.0,38853.7002611,73.0
143x,6-10,0,155.0,7824.7101554,16.0
143x,6-10,1,1118.0,58384.710611099996,83.0
143x,na,0,55.0,1689.5000246,0.0
143x,na,1,186.0,6916.440056400001,6.0
144a,0-2,0,63.0,4155.509919,39.0
144a,0-2,1,3317.0,248041.510897,3075.0
144a,11-20,0,215.0,14885.6997744,118.0
144a,11-20,1,3387.0,243125.5437294,2307.0
144a,21+,0,1449.0,101560.0578952,843.0
144a,21+,1,4446.0,311756.01187780005,2829.0
144a,3-5,0,61.0,4480.069867,51.0
144a,3-5,1,3041.0,227604.84155100002,2844.0
144a,6-10,0,67.0,4900.639880000001,52.0
144a,6-10,1,2220.0,164549.864299,1934.0
144a,na,0,1577.0,111097.29731370001,954.0
144a,na,1,1406.0,71272.7086347,485.0
144b,0-2,0,17.0,1288.0899490000002,17.0
144b,0-2,1,947.0,71272.537304,900.0
144b,11-20,0,334.0,24183.86957,203.0
144b,11-20,1,6875.0,496781.70656200004,4903.0
144b,21+,0,189.0,14658.659808,138.0
144b,21+,1,3509.0,260770.93216800003,2717.0
144b,3-5,0,23.0,1742.709931,23.0
144b,3-5,1,965.0,72272.79729100001,902.0
144b,6-10,0,64.0,4368.259966,30.0
144b,6-10,1,2087.0,149912.866297,1456.0
144c,0-2,0,19.0,1439.6299430000001,19.0
144c,0-2,1,996.0,74961.167157,947.0
144c,11-20,0,344.0,24164.209688,178.0
144c,11-20,1,6565.0,474858.87674000004,4675.0
144c,21+,0,637.0,47067.749101,423.0
