inr,expband,fresh,n,ws,wh
010c,0-2,0,1075.0,41193.8605171,94.0
010c,0-2,1,758.0,31578.350548,76.0
010c,11-20,0,80.0,6130.040069000001,47.0
010c,11-20,1,172.0,11385.350085,86.0
010c,21+,0,18.0,1432.850022,7.0
010c,21+,1,100.0,6844.460033,51.0
010c,3-5,0,37.0,1660.010034,0.0
010c,3-5,1,88.0,4924.0301,27.0
010c,6-10,0,33.0,1617.410044,5.0
010c,6-10,1,72.0,4231.560061,25.0
140z,0-2,1,31.0,2689.930023,26.0
140z,11-20,0,18.0,1532.859946,18.0
140z,11-20,1,150.0,10652.469815800001,92.0
140z,3-5,1,40.0,3489.34991,40.0
140z,6-10,1,111.0,9250.939786,104.0
140z,na,0,131.0,4095.1200254,5.0
140z,na,1,337.0,12974.9400038,39.0
142z,0-2,0,379.0,22404.070037,142.0
142z,0-2,1,1753.0,118321.7000899,843.0
142z,11-20,0,685.0,51513.249896,406.0
142z,11-20,1,3868.0,276653.0089086,2036.0
142z,21+,0,313.0,23993.540065,206.0
142z,21+,1,1276.0,92972.969832,764.0
142z,3-5,0,252.0,18706.239952,165.0
142z,3-5,1,1558.0,115039.2097161,900.0
142z,6-10,0,449.0,34496.400017,300.0
142z,6-10,1,2636.0,191911.7290132,1453.0
142z,na,0,20.0,352.2600056,0.0
142z,na,1,107.0,3799.3199950000003,13.0
143a,0-2,0,685.0,37857.480751,18.0
143a,0-2,1,6816.0,418327.242641,104.0
143a,11-20,0,678.0,42200.3408428,38.0
143a,11-20,1,6016.0,376557.4168168,585.0
143a,21+,0,5849.0,368102.8643914,947.0
143a,21+,1,27102.0,1667946.2563346,2818.0
143a,3-5,0,824.0,49916.921347,19.0
143a,3-5,1,7182.0,442603.22266780003,179.0
143a,6-10,0,994.0,61461.59145100001,41.0
143a,6-10,1,8507.0,528373.1929323,426.0
143a,na,0,474.0,30050.86024,88.0
143a,na,1,768.0,38864.3904858,53.0
143b,0-2,0,32.0,2103.789973,9.0
143b,0-2,1,1721.0,109494.519273,262.0
143b,11-20,0,39.0,2408.820018,0.0
143b,11-20,1,1095.0,70762.689333,255.0
143b,21+,0,1230.0,76345.2198996,269.0
143b,21+,1,7810.0,489566.5764683,1675.0
143b,3-5,0,40.0,2542.5499849999997,5.0
143b,3-5,1,1641.0,105738.78903900001,319.0
143b,6-10,0,57.0,3746.9399519999997,16.0
143b,6-10,1,1730.0,111716.178877,368.0
143b,na,0,37.0,2342.4899490000003,17.0
143b,na,1,87.0,4284.799949,17.0
143x,0-2,0,3224.0,143906.6311613,227.0
143x,0-2,1,6984.0,345283.42204088,634.0
143x,11-20,0,60.0,3445.710093,0.0
143x,11-20,1,627.0,35894.1705224,48.0
143x,21+,0,69.0,4157.170014,22.0
143x,21+,1,376.0,19566.8700572,44.0
143x,3-5,0,191.0,9290.4601265,15.0
143x,3-5,1,745.0,36476.2702179,77.0
143x,6-10,0,197.0,10574.070135,27.0
143x,6-10,1,1064.0,55307.7904779,98.0
143x,na,0,59.0,1709.3400264000002,0.0
143x,na,1,182.0,6906.0700453,9.0
144a,0-2,0,78.0,5526.779856,52.0
144a,0-2,1,3256.0,243435.36110500002,3018.0
144a,11-20,0,259.0,17778.3397794,132.0
144a,11-20,1,3540.0,253953.6633,2406.0
144a,21+,0,1184.0,84295.138191,699.0
144a,21+,1,4099.0,284707.2026291,2575.0
144a,3-5,0,59.0,4312.029838,54.0
144a,3-5,1,3413.0,254978.650621,3163.0
144a,6-10,0,81.0,5898.059826000001,64.0
144a,6-10,1,2770.0,205867.25261,2473.0
144a,na,0,780.0,54943.8686877,478.0
144a,na,1,1295.0,63781.568908400004,389.0
144b,0-2,0,18.0,1363.859946,18.0
144b,0-2,1,881.0,66298.667499,834.0
144b,11-20,0,366.0,26373.759636000003,205.0
144b,11-20,1,6568.0,473779.107517,4609.0
144b,21+,0,176.0,13725.459755,138.0
144b,21+,1,3930.0,290702.791326,3013.0
144b,3-5,0,15.0,1136.549955,15.0
144b,3-5,1,1029.0,77074.557104,957.0
144b,6-10,0,54.0,3665.879988,24.0
144b,6-10,1,1920.0,139378.096127,1443.0
144c,0-2,0,15.0,1136.549955,15.0
144c,0-2,1,965.0,72675.67724599999,918.0
144c,11-20,0,329.0,23402.64966,183.0
144c,11-20,1,6140.0,443783.847729,4314.0
144c,21+,0,637.0,46883.029098,418.0
144c,21+,1,8127.0,594580.8829600001,5875.0
