grp,expband,fresh,n,ws,wh
15H,21+,0,2743.0,197997.6691985,1216.0
15H,21+,1,17473.0,1241051.8849567,8240.0
15H,3-5,0,215.0,15827.569713,119.0
15H,3-5,1,5500.0,408937.041735,3366.0
15H,6-10,0,446.0,31728.2196575,205.0
15H,6-10,1,9073.0,669196.2181015001,5035.0
15H,na,0,40.0,2902.5999380000003,18.0
15H,na,1,204.0,11669.419885,71.0
15P,0-2,0,31.0,2181.709956,20.0
15P,0-2,1,1007.0,74497.287959,714.0
15P,11-20,0,207.0,13778.409899400001,80.0
15P,11-20,1,2854.0,205377.7763504,1512.0
15P,21+,0,2013.0,138383.7187727,829.0
15P,21+,1,8405.0,575714.2018774,3792.0
15P,3-5,0,48.0,3401.899955,21.0
15P,3-5,1,1035.0,76721.408094,684.0
15P,6-10,0,107.0,7466.559906,41.0
15P,6-10,1,1953.0,143854.45692199998,1180.0
15P,na,0,170.0,11963.869828,71.0
15P,na,1,486.0,22977.8098359,69.0
15S,0-2,0,51.0,3675.479987,27.0
15S,0-2,1,3117.0,205218.59563,733.0
15S,11-20,0,505.0,34031.909459,130.0
15S,11-20,1,4697.0,317944.705285,1385.0
15S,21+,0,956.0,62830.769061,266.0
15S,21+,1,2736.0,176324.3684562,885.0
15S,3-5,0,56.0,4177.779967,35.0
15S,3-5,1,3723.0,243983.344394,806.0
15S,6-10,0,149.0,10351.359864,49.0
15S,6-10,1,4198.0,280918.884469,1054.0
15S,na,1,48.0,1427.9099899999999,0.0
15V,0-2,0,30.0,1432.239951,0.0
15V,0-2,1,850.0,46835.438535,111.0
15V,11-20,0,201.0,12309.169795,40.0
15V,11-20,1,2100.0,130982.417073,615.0
15V,21+,0,905.0,49826.5793454,202.0
15V,21+,1,2614.0,131989.16816478,406.0
15V,3-5,0,35.0,1838.509935,6.0
15V,3-5,1,801.0,45083.568530000004,134.0
15V,6-10,0,77.0,4110.4898945,8.0
15V,6-10,1,1244.0,74641.087941,284.0
15V,na,0,22.0,705.9399859999999,0.0
15V,na,1,80.0,2446.889972,6.0
23E,0-2,0,1794.0,65272.3607583,141.0
23E,0-2,1,4784.0,177665.17208234,327.0
23E,11-20,0,4544.0,216427.08168728,859.0
23E,11-20,1,9662.0,443040.6024957,1643.0
23E,21+,0,5361.0,308368.01130225003,1728.0
23E,21+,1,11526.0,609566.87156872,2958.0
23E,3-5,0,1829.0,73802.5108488,186.0
23E,3-5,1,3325.0,132604.0316763,275.0
23E,6-10,0,2634.0,112452.6513642,337.0
23E,6-10,1,5285.0,222845.56209572,595.0
23E,na,0,1014.0,35462.6302284,95.0
23E,na,1,2840.0,97495.47036118,204.0
23X,0-2,0,185.0,6865.5101312,10.0
23X,0-2,1,495.0,17263.6302102,18.0
23X,11-20,0,3175.0,139171.87060274,387.0
23X,11-20,1,6297.0,277026.20073088,851.0
23X,21+,0,1258.0,57182.8601127,141.0
23X,21+,1,3100.0,140651.87996808,427.0
23X,3-5,0,157.0,6056.5101247,0.0
23X,3-5,1,295.0,10883.1101748,12.0
23X,6-10,0,745.0,30608.910397400003,56.0
23X,6-10,1,1469.0,59921.18046062,144.0
23X,na,0,46.0,1382.1200247,0.0
23X,na,1,190.0,6733.9299821,5.0
24P,0-2,0,6707.0,316752.9526797,1346.0
24P,0-2,1,9932.0,520398.822224,2693.0
24P,11-20,0,4430.0,296129.1615384,2160.0
24P,11-20,1,10071.0,634546.46221948,4375.0
24P,21+,0,3111.0,222914.2908439,1714.0
24P,21+,1,7259.0,480240.9718596,3547.0
24P,3-5,0,1632.0,96569.8006226,616.0
24P,3-5,1,3213.0,189025.8110169,1146.0
24P,6-10,0,2586.0,166817.8911726,1181.0
24P,6-10,1,5284.0,321177.281782,2102.0
24P,na,0,31.0,2380.710005,18.0
24P,na,1,96.0,6891.250025,53.0
25H,0-2,0,823.0,46888.6004778,288.0
25H,0-2,1,1956.0,133812.1813855,1057.0
25H,11-20,0,2318.0,162116.8010641,1279.0
25H,11-20,1,7450.0,508572.6435027,3909.0
25H,21+,0,2242.0,166287.3410789,1387.0
25H,21+,1,6463.0,441793.3325901,3491.0
25H,3-5,0,692.0,47356.6704908,378.0
25H,3-5,1,2164.0,158209.281698,1313.0
25H,6-10,0,1439.0,102212.4109159,786.0
25H,6-10,1,4358.0,313851.8228013,2598.0
25H,na,0,233.0,14160.9601181,90.0
25H,na,1,933.0,50644.4503758,310.0
25K,0-2,0,1125.0,56465.2106699,235.0
25K,0-2,1,2175.0,122829.5506109,526.0
25K,11-20,0,2555.0,163316.1004923,1091.0
25K,11-20,1,5791.0,363314.17969576,2269.0
25K,21+,0,1965.0,120996.9002279,602.0
25K,21+,1,5434.0,320711.1493404,1469.0
25K,3-5,0,1168.0,68193.0005608,407.0
25K,3-5,1,2327.0,142608.3804055,757.0
25K,6-10,0,1937.0,121579.0207233,829.0
25K,6-10,1,3846.0,246905.4800852,1515.0
25K,na,0,777.0,39706.6201045,242.0
25K,na,1,2019.0,103704.21985,555.0
25M,0-2,0,1147.0,62746.0707375,406.0
25M,0-2,1,1176.0,71641.8506531,497.0
25M,11-20,0,1786.0,139189.5812466,1254.0
25M,11-20,1,2927.0,209761.1711234,1715.0
25M,21+,0,524.0,40823.870264,370.0
25M,21+,1,1198.0,86964.0404424,751.0
25M,3-5,0,901.0,67090.8407966,613.0
25M,3-5,1,1058.0,74778.6706012,643.0
25M,6-10,0,1318.0,99757.8208821,889.0
25M,6-10,1,1645.0,117860.83081690001,1014.0
25M,na,0,42.0,3601.910064,37.0
25M,na,1,82.0,5721.6100648,54.0
25T,0-2,0,53.0,3053.600011,10.0
25T,0-2,1,317.0,19182.030141,43.0
25T,11-20,0,196.0,12398.290143,23.0
25T,11-20,1,1296.0,83629.920772,206.0
25T,21+,0,690.0,43685.20059,68.0
25T,21+,1,1723.0,107786.231262,198.0
25T,3-5,0,40.0,2200.950021,0.0
25T,3-5,1,381.0,24190.130213,74.0
25T,6-10,0,77.0,4633.400049999999,5.0
25T,6-10,1,577.0,36376.560233,107.0
25T,na,0,25.0,1557.2500249999998,0.0
25T,na,1,23.0,1432.670023,0.0
33E,0-2,0,7571.0,309605.414192,843.0
33E,0-2,1,22009.0,938847.95257213,2849.0
33E,11-20,1,25.0,784.9699944,0.0
33E,21+,0,21372.0,1476926.04353632,10697.0
33E,21+,1,45574.0,3041052.69882175,22817.0
33E,3-5,0,5032.0,228000.252951,811.0
33E,3-5,1,8918.0,412284.7053218,1606.0
33E,6-10,0,3526.0,182977.14175558,867.0
33E,6-10,1,5621.0,289576.78269894,1370.0
33E,na,0,483.0,32268.8200429,246.0
33E,na,1,1429.0,81385.8002189,554.0
33H,0-2,0,2045.0,84729.4013788,171.0
33H,0-2,1,7332.0,301429.69487468,612.0
33H,11-20,0,8443.0,414192.86299539,1929.0
33H,11-20,1,20599.0,982470.4960392601,4339.0
33H,21+,0,35215.0,2013899.8874988,12102.0
33H,21+,1,85564.0,4583363.13538119,26351.0
33H,3-5,0,2038.0,85278.18129253,228.0
33H,3-5,1,5501.0,228612.85299689,571.0
33H,6-10,0,3874.0,172429.11209318,607.0
33H,6-10,1,9461.0,403186.39364675997,1307.0
33H,na,0,4371.0,174793.02062514,753.0
33H,na,1,10901.0,399242.00095485,1292.0
34P,0-2,0,24182.0,1198154.34119418,5915.0
34P,0-2,1,35039.0,2015556.99367798,13224.0
34P,11-20,0,11582.0,859305.4406905,6549.0
34P,11-20,1,26231.0,1901975.87379545,15216.0
34P,21+,0,7639.0,578024.8602114,4622.0
34P,21+,1,16332.0,1199044.3018452,9895.0
34P,3-5,0,3382.0,231524.3007637,1730.0
34P,3-5,1,7249.0,489621.2420341,3746.0
34P,6-10,0,5808.0,426464.6109497,3266.0
34P,6-10,1,12059.0,858183.23258264,6783.0
34P,na,0,135.0,10766.509967,97.0
34P,na,1,257.0,16561.6199806,140.0
35B,0-2,0,19.0,1344.530036,11.0
35B,0-2,1,482.0,39089.6516026,460.0
35B,11-20,0,97.0,8436.270244000001,97.0
35B,11-20,1,1912.0,155791.4458538,1835.0
