term,coef,se
post_rb_x_expo,0.0061443327233808,0.0039972800432125
post_gpt_x_expo,0.0083692530959269,0.0082513431474774
post_tax_x_taxshare,0.0226498102298514,0.0145207515255056
post_tax_x_taxshare_x_high,-0.0537265141107205,0.0338038863671139
