band_vs_ref,reference,coef,se,t
22_25,41-49,-0.0287791021798494,0.013013981660892,-2.2113987040824545
26_30,41-49,-0.0146140468259999,0.0085993838181687,-1.6994295329769413
31_34,41-49,0.0162307294294521,0.0064236231234689,2.5267250455825536
35_40,41-49,0.0086937616531507,0.0051959396510597,1.6731837236365181
50p,41-49,0.0616058346367769,0.0065481076665095,9.408189018006203
