"term","rb_x_high_x_young","m01_x_high_x_young","m02_x_high_x_young","m03_x_high_x_young","m04_x_high_x_young","m05_x_high_x_young","m06_x_high_x_young","m07_x_high_x_young","m08_x_high_x_young","m09_x_high_x_young","m10_x_high_x_young","m11_x_high_x_young","pm_2022_12_x_high_x_young","pm_2023_01_x_high_x_young","pm_2023_02_x_high_x_young","pm_2023_03_x_high_x_young","pm_2023_04_x_high_x_young","pm_2023_05_x_high_x_young","pm_2023_06_x_high_x_young","pm_2023_07_x_high_x_young","pm_2023_08_x_high_x_young","pm_2023_09_x_high_x_young","pm_2023_10_x_high_x_young","pm_2023_11_x_high_x_young","pm_2023_12_x_high_x_young","pm_2024_01_x_high_x_young","pm_2024_02_x_high_x_young","pm_2024_03_x_high_x_young","pm_2024_04_x_high_x_young","pm_2024_05_x_high_x_young","pm_2024_06_x_high_x_young","pm_2024_07_x_high_x_young","pm_2024_08_x_high_x_young","pm_2024_09_x_high_x_young","pm_2024_10_x_high_x_young","pm_2024_11_x_high_x_young","pm_2024_12_x_high_x_young","pm_2025_01_x_high_x_young","pm_2025_02_x_high_x_young","pm_2025_03_x_high_x_young","pm_2025_04_x_high_x_young","pm_2025_05_x_high_x_young","pm_2025_06_x_high_x_young"
"rb_x_high_x_young",6.18760133715067e-05,1.00305470091815e-06,-1.2974982107526e-05,-6.39122960431041e-06,-3.96437904050378e-05,-3.59092608178209e-05,-2.45362876278842e-05,-3.3672652066911e-05,-2.90040221339089e-05,-1.89918515401761e-05,-1.34428982263271e-05,-9.33848550292085e-06,-7.90489878678909e-06,2.94435748039213e-06,3.70914060859566e-06,-1.76557009133394e-06,3.37494778644413e-05,2.50924780852395e-05,2.66149198839788e-05,2.39015254791929e-05,2.28241303613589e-05,1.89233102703291e-05,2.11852559459038e-05,2.53296690286605e-05,9.95598705646089e-06,1.37464707040359e-05,2.41711858647238e-05,1.07973466892102e-05,4.23042007554538e-05,3.83416052576842e-05,3.57398194522123e-05,3.47668105995994e-05,3.05453754770631e-05,2.60727481997661e-05,2.69943040714421e-05,2.74922277398473e-05,1.9059796027128e-05,2.61008420269107e-05,3.78298987148611e-05,2.5266112167992e-05,4.90079245455289e-05,4.26411761837416e-05,1.72690882929649e-05
"m01_x_high_x_young",1.00305470091815e-06,0.000464681821002273,8.12927426620526e-05,6.1142567662824e-05,7.26792786317555e-05,2.71320949512124e-05,4.50549027934662e-05,-9.07432887657028e-05,-0.000175807662118911,-0.00011853492048013,-3.84262845288487e-05,-4.16397554806835e-06,-3.32399977764692e-06,6.32795918474605e-05,3.24033708249212e-05,2.95664692455376e-05,6.50383220416324e-05,4.27833101783312e-05,1.35966831324751e-05,1.41253430613101e-05,5.39664485160096e-05,5.46759974287945e-05,6.3702727967365e-05,5.59291762754415e-05,6.57147281448056e-05,-3.02686071800212e-05,8.30972015293827e-05,6.30399893879927e-05,5.808660702108e-05,6.47610746551955e-05,4.51103432622362e-05,6.56204302815523e-05,6.29131682566718e-05,6.74625591116657e-05,8.58969071124506e-05,0.000209771945947094,0.00010633301335778,-7.33262331980658e-05,0.000270518065699835,4.95936026520891e-05,8.75924839099188e-05,8.56665869002107e-05,3.79238823872428e-05
"m02_x_high_x_young",-1.2974982107526e-05,8.12927426620526e-05,0.00013786856756632,0.00011413491696848,0.000108206117139876,0.000104354647477297,9.9203931986598e-05,7.28252583667438e-05,6.00029432898678e-05,3.84417416919941e-05,3.16334423214955e-05,1.91107553949505e-05,1.63744440470889e-05,-3.23988319814164e-05,-4.63478961895994e-05,-3.52534653718407e-05,-8.729720789924e-06,-3.40062167845601e-05,-1.73793372632533e-05,-8.40934303151855e-06,-1.4026530151339e-05,-1.1491694964379e-05,-6.61078710225863e-06,-5.37746248590314e-06,9.20320455042031e-06,-1.37184542894026e-05,-4.30233645869805e-05,-3.05479985978345e-05,-2.06649763724859e-05,-2.86633441483482e-05,-1.18083918829991e-05,-2.00697899870805e-05,-1.1214083303296e-05,-1.08363535389315e-05,-6.26521475770889e-06,-2.09093103993855e-05,1.56313140796559e-05,-2.41058903909491e-05,-7.97344779984339e-05,-3.749845205762e-05,-2.67176956549679e-05,-3.43117641860353e-05,-0.000134187453349701
"m03_x_high_x_young",-6.39122960431041e-06,6.1142567662824e-05,0.00011413491696848,0.000132186448781362,0.000106464441381388,9.97328142247894e-05,8.84716183924665e-05,6.82328540172153e-05,5.83933622157944e-05,3.72053914977377e-05,3.25815452338821e-05,2.0547192813585e-05,2.0073462309415e-05,-2.39966751604555e-05,-2.62681537427307e-05,-4.00046348278472e-05,-6.51170989307629e-06,-2.4593789315602e-05,-1.20175132643016e-05,3.24794461191279e-06,-9.44457528152998e-06,-5.76758702911766e-06,-6.91330241318812e-06,-1.44061815629358e-06,9.78168472811997e-06,-1.95789974727196e-05,-2.56760129854431e-05,-4.02099610009363e-05,-7.99826138769703e-06,-1.85305705849518e-05,-6.29849897121614e-06,-7.74422835024654e-06,-1.11369996677373e-07,1.39075539165037e-08,5.02868682511344e-07,4.8365437612513e-06,1.66298301803779e-05,-2.68042086247228e-05,-4.28894646880876e-05,-4.55616933306367e-05,-1.57039440530614e-05,-2.61399361649372e-05,-5.4906914454434e-05
"m04_x_high_x_young",-3.96437904050378e-05,7.26792786317555e-05,0.000108206117139876,0.000106464441381388,0.000137426545909893,0.000113900308150402,9.68233117831831e-05,7.64977361959566e-05,5.96280466761029e-05,3.3817475012135e-05,3.90991128556251e-05,2.19719418594677e-05,1.83377851107304e-05,-2.13468873950089e-05,-2.22103359220783e-05,-2.43357531273034e-05,-2.63008328993846e-05,-3.19256961495696e-05,-2.3140057608917e-05,-1.50555345434239e-05,-1.74444665733428e-05,-9.78470048794601e-06,-2.32790809938011e-05,-1.56596222971626e-05,8.434848159017e-07,-1.91948795932983e-05,-3.37872021353174e-05,-3.40247838974855e-05,-4.44430544986481e-05,-4.03955784220212e-05,-2.57239693307434e-05,-2.54484683175583e-05,-1.6406341877914e-05,-1.13674312972824e-05,-1.93484472975335e-05,-2.43454988417246e-05,5.69081524776079e-06,-2.40405867632078e-05,-5.6436347358572e-05,-3.68402135914e-05,-4.89927405505715e-05,-4.0493714812783e-05,-6.42487798823448e-05
"m05_x_high_x_young",-3.59092608178209e-05,2.71320949512124e-05,0.000104354647477297,9.97328142247894e-05,0.000113900308150402,0.000138134659205342,0.000109527566321492,0.000100053682401455,9.41191216505763e-05,5.91850050086332e-05,3.77312689808778e-05,2.16938928906314e-05,1.72947203290191e-05,-3.43053815826935e-05,-3.30209948918141e-05,-3.31442211433941e-05,-1.2442960319452e-05,-6.18638095478176e-05,-2.6236520212564e-05,-1.31122889682161e-05,-2.5609294425368e-05,-2.19936619529088e-05,-1.91494446157799e-05,-2.07443553446633e-05,-3.61009786048869e-06,-1.31949504311975e-05,-2.42633607194361e-05,-3.09466953593367e-05,-3.07485117539632e-05,-5.99859312507063e-05,-2.61580678663183e-05,-2.80960589888431e-05,-1.86522311394839e-05,-1.53083186516794e-05,-2.27243892907561e-05,-3.8435024476985e-05,1.25693303770936e-05,-5.04505014160936e-06,-7.2637551188921e-05,-2.65743826534349e-05,-3.14956030655928e-05,-5.79666184556375e-05,-7.54400542087313e-05
"m06_x_high_x_young",-2.45362876278842e-05,4.50549027934662e-05,9.9203931986598e-05,8.84716183924665e-05,9.68233117831831e-05,0.000109527566321492,0.000151304326825211,0.000109378083410621,9.33401587101778e-05,6.36076577008661e-05,3.06422909433998e-05,1.83242553654992e-05,2.20435672709037e-05,-1.61432683159678e-05,-1.4807098016462e-05,-1.61827968228275e-05,9.09523130497941e-06,-1.46964511305897e-05,-2.99709474500536e-06,2.12584056269358e-05,1.08951728502548e-05,1.44356839445204e-05,1.85385950474291e-05,1.7248796824186e-05,3.57492499444042e-05,3.32429321688606e-05,-7.9783305289243e-07,7.2590861669539e-06,1.38019006630786e-05,-3.7651172141307e-06,6.25845526285913e-06,-1.47331206954275e-07,1.36340749428584e-05,1.33247705567551e-05,1.40303339331767e-05,-2.4647830425091e-05,2.76274384463526e-05,1.48755929580703e-05,-7.16261240038194e-05,-1.75093677552122e-05,-9.6170174760355e-06,-2.01972963240114e-05,-0.000160281678268278
"m07_x_high_x_young",-3.3672652066911e-05,-9.07432887657028e-05,7.28252583667438e-05,6.82328540172153e-05,7.64977361959566e-05,0.000100053682401455,0.000109378083410621,0.000189392747741843,0.000195405289015231,0.000138142302941346,5.40147143131069e-05,2.93840448446359e-05,2.82221687412658e-05,-5.09714813989063e-05,-3.52130767189885e-05,-3.07938263331346e-05,-2.84046211466759e-05,-4.1573541894609e-05,-2.07344112696539e-05,-1.1714865123656e-05,-2.90790464068965e-05,-2.60389213757783e-05,-2.87541901542669e-05,-3.16660853814027e-05,-5.32015498227944e-06,-2.70465830542076e-06,-5.32541327974083e-05,-2.97471052992982e-05,-2.73351695065896e-05,-4.44801113741717e-05,-2.68035904829372e-05,-3.74707141180024e-05,-2.59968281490846e-05,-2.39300902118791e-05,-3.13094030505068e-05,-9.30833249452339e-05,-1.11220120708681e-05,5.38828318590873e-06,-0.000163289640205521,-4.78898195454187e-05,-5.11609685120994e-05,-5.60617545347642e-05,-6.44416262081418e-05
"m08_x_high_x_young",-2.90040221339089e-05,-0.000175807662118911,6.00029432898678e-05,5.83933622157944e-05,5.96280466761029e-05,9.41191216505763e-05,9.33401587101778e-05,0.000195405289015231,0.00023949710235498,0.000162480830696699,6.06634872300232e-05,3.16448855585147e-05,2.97133688526998e-05,-6.72270923824006e-05,-4.46767983587862e-05,-3.93748305186419e-05,-3.87463995902003e-05,-5.17033330842704e-05,-2.09730672318068e-05,-8.94255240882809e-06,-3.6223915938082e-05,-3.19827140979645e-05,-3.37162170305545e-05,-3.95417302195831e-05,-1.55350237436743e-05,-4.11757367294812e-06,-6.24239913740644e-05,-4.19484418217689e-05,-3.63754227417477e-05,-5.753666760959e-05,-3.30095155858537e-05,-4.35400509626122e-05,-3.66822068137594e-05,-3.31910916359306e-05,-4.36616859698423e-05,-0.000121752861294329,-2.63402600432945e-05,8.61661781716132e-06,-0.00021654089918959,-6.72314855256771e-05,-6.73517575332872e-05,-7.67429754690902e-05,-8.20400577354548e-05
"m09_x_high_x_young",-1.89918515401761e-05,-0.00011853492048013,3.84417416919941e-05,3.72053914977377e-05,3.3817475012135e-05,5.91850050086332e-05,6.36076577008661e-05,0.000138142302941346,0.000162480830696699,0.000128339324119143,5.02307340584029e-05,2.70206816849146e-05,2.70042045764064e-05,-3.72208416569558e-05,-2.78890684705311e-05,-2.21776708096707e-05,-1.7251624062719e-05,-3.19444916827614e-05,-1.17073640738031e-05,-1.51565856302655e-06,-2.10215465202574e-05,-2.31988463099471e-05,-1.90857059367108e-05,-2.35233960793528e-05,1.02716457218843e-06,-2.92889472151354e-07,-4.16862129108085e-05,-2.27180433039294e-05,-1.76195058041118e-05,-3.35082118630816e-05,-1.78428644760747e-05,-2.52532888180776e-05,-1.87908948409309e-05,-2.29475821226874e-05,-2.5941875162938e-05,-7.02141760484379e-05,-6.26988656495904e-06,9.11324738903594e-06,-0.00013349771321324,-3.84447792486028e-05,-3.83527002034731e-05,-4.6724877864284e-05,-3.64490482754736e-05
