track,male,male_se,diff,diff_se,n_obs,n_firms,status
all,-0.0170593362227899,0.0178817739159213,-0.085815533931166,0.0141980411953383,38398914,104217,ok
ict,-0.129703211516501,0.0592849530606406,0.107289836082947,0.083909780054502,1734912,6154,ok
engineering,-0.0389878941193297,0.0252143656711078,-0.0443630364266949,0.030508199168066,13866336,51364,ok
business_law_social,-0.0826573392402912,0.0250341064605076,-0.0407836229120475,0.0235554428670643,12134232,40050,ok
health_education_care,0.151835347494601,0.0422769078161064,-0.242349670027253,0.0409075630093281,7195068,24152,ok
other,0.0010544294096552,0.0257230162167552,-0.0907813976365808,0.0217282445970928,22706028,67917,ok
