age_group,gamma1,se1,p1,gamma2,se2,p2,n_obs
22-25,-0.012922301487569463,0.0015242428557487048,2.2939449128955412e-17,-0.01002450979780987,0.001560001924932152,1.3103995479407618e-10,11682918
26-30,-0.006606809600888878,0.001373261732597076,1.5015107846671919e-06,0.00019971850411971897,0.0013935973518461825,0.8860441867993488,15983058
31-34,-0.0012833538811652101,0.0014158411689866965,0.3647109268537432,0.008752124173524613,0.0014635461675766934,2.230271170475217e-09,14225562
35-40,-0.002501062593008314,0.0012536339357226815,0.04603740861744819,0.0032371699587292117,0.0012985514719076824,0.012670150414131791,16967730
41-49,0.001509989052298367,0.0010738670140828656,0.15968761897755768,0.0017029681523469094,0.0011118668402515862,0.12561386640143016,21340410
50+,0.005156159722098877,0.0008390905961576763,7.999473543772464e-10,0.010370265210766153,0.0008850777984149363,1.0456689059423592e-31,29591094
