age_group,level_t,level_t1,n,year
31-34,3,3,213010.0,2020
22-25,4,4,32598.0,2020
31-34,5,6,588.0,2020
22-25,2,1,71.0,2020
31-34,3,5,1453.0,2020
31-34,9,5,1771.0,2020
26-30,1,2,108.0,2020
22-25,5,2,12.0,2020
31-34,1,1,13499.0,2020
22-25,9,4,2068.0,2020
22-25,3,4,15811.0,2020
26-30,2,5,120.0,2020
22-25,3,1,29.0,2020
26-30,9,5,2649.0,2020
26-30,3,5,3286.0,2020
35-40,9,2,37.0,2020
35-40,5,3,66.0,2020
26-30,4,2,8.0,2020
22-25,4,6,,2020
22-25,9,3,1391.0,2020
26-30,5,6,487.0,2020
35-40,1,1,4189.0,2020
31-34,4,3,148.0,2020
35-40,3,4,502.0,2020
26-30,5,1,,2020
31-34,6,6,5169.0,2020
35-40,9,5,297.0,2020
31-34,9,3,617.0,2020
35-40,3,5,229.0,2020
22-25,5,3,124.0,2020
35-40,1,4,6.0,2020
26-30,5,4,460.0,2020
35-40,5,6,134.0,2020
26-30,1,5,32.0,2020
22-25,1,2,136.0,2020
26-30,1,4,12.0,2020
31-34,2,2,37225.0,2020
26-30,9,4,1134.0,2020
26-30,3,1,57.0,2020
35-40,3,6,,2020
26-30,2,2,51476.0,2020
35-40,3,1,8.0,2020
31-34,5,5,240125.0,2020
22-25,4,2,17.0,2020
22-25,3,5,3111.0,2020
26-30,3,4,7509.0,2020
26-30,3,2,155.0,2020
31-34,9,6,161.0,2020
31-34,5,1,,2020
22-25,4,1,6.0,2020
35-40,2,5,18.0,2020
26-30,6,5,9.0,2020
31-34,1,4,11.0,2020
35-40,5,2,,2020
35-40,2,2,8908.0,2020
26-30,4,5,11385.0,2020
22-25,9,1,240.0,2020
26-30,4,3,207.0,2020
35-40,9,3,129.0,2020
26-30,2,4,140.0,2020
22-25,2,5,65.0,2020
31-34,5,2,21.0,2020
26-30,5,3,411.0,2020
31-34,1,3,414.0,2020
35-40,1,5,5.0,2020
35-40,4,2,,2020
22-25,9,5,1129.0,2020
35-40,5,4,75.0,2020
35-40,5,1,,2020
26-30,9,1,249.0,2020
35-40,4,5,588.0,2020
31-34,2,5,54.0,2020
22-25,9,2,282.0,2020
31-34,4,2,8.0,2020
35-40,6,4,,2020
26-30,3,3,297669.0,2020
26-30,9,9,22818.0,2020
26-30,9,3,925.0,2020
35-40,9,6,33.0,2020
35-40,1,2,20.0,2020
26-30,4,6,14.0,2020
22-25,6,6,5.0,2020
31-34,9,9,17558.0,2020
22-25,1,3,683.0,2020
31-34,1,2,86.0,2020
22-25,5,6,9.0,2020
31-34,4,6,10.0,2020
26-30,1,1,12356.0,2020
22-25,9,6,8.0,2020
22-25,5,1,,2020
26-30,2,3,2269.0,2020
31-34,9,1,229.0,2020
22-25,1,4,9.0,2020
31-34,4,1,,2020
22-25,5,5,103189.0,2020
22-25,9,9,14006.0,2020
31-34,4,5,3459.0,2020
26-30,9,6,163.0,2020
31-34,3,4,3060.0,2020
26-30,3,6,,2020
31-34,3,2,120.0,2020
35-40,1,3,119.0,2020
22-25,1,5,10.0,2020
31-34,1,6,,2020
31-34,2,4,65.0,2020
31-34,2,1,45.0,2020
31-34,6,5,22.0,2020
22-25,3,3,219509.0,2020
26-30,1,3,562.0,2020
35-40,2,4,11.0,2020
35-40,2,1,7.0,2020
35-40,5,5,60301.0,2021
22-25,3,2,223.0,2021
31-34,5,4,234.0,2021
31-34,2,3,1092.0,2021
31-34,1,5,21.0,2021
26-30,4,1,7.0,2021
31-34,3,6,,2021
31-34,4,4,37911.0,2021
22-25,1,1,7512.0,2021
31-34,9,4,483.0,2021
35-40,6,5,6.0,2021
22-25,2,3,2696.0,2021
22-25,5,4,94.0,2021
35-40,4,3,28.0,2021
35-40,3,2,29.0,2021
31-34,3,1,40.0,2021
22-25,6,5,,2021
26-30,2,6,,2021
26-30,4,4,45199.0,2021
22-25,4,5,24504.0,2021
35-40,6,6,1869.0,2021
35-40,2,3,225.0,2021
26-30,2,1,75.0,2021
35-40,4,6,,2021
35-40,4,4,8720.0,2021
35-40,9,1,58.0,2021
35-40,9,4,97.0,2021
26-30,5,2,8.0,2021
35-40,4,1,,2021
26-30,3,3,280403.0,2021
26-30,9,9,22878.0,2021
26-30,9,3,1027.0,2021
35-40,1,2,20.0,2021
35-40,9,6,60.0,2021
22-25,6,6,15.0,2021
26-30,4,6,17.0,2021
35-40,3,3,49047.0,2021
31-34,9,2,175.0,2021
35-40,3,4,1210.0,2021
26-30,5,1,5.0,2021
22-25,3,5,3381.0,2021
31-34,9,6,279.0,2021
26-30,3,4,13308.0,2021
35-40,5,2,,2021
26-30,3,2,164.0,2021
35-40,2,5,16.0,2021
31-34,1,4,9.0,2021
31-34,5,1,10.0,2021
26-30,6,5,12.0,2021
22-25,4,1,,2021
31-34,9,1,260.0,2021
26-30,2,3,1962.0,2021
22-25,1,4,14.0,2021
31-34,4,1,7.0,2021
22-25,5,5,105253.0,2021
22-25,9,9,14975.0,2021
31-34,3,4,6529.0,2021
31-34,4,5,3391.0,2021
26-30,9,6,216.0,2021
31-34,3,2,130.0,2021
35-40,1,3,91.0,2021
26-30,3,6,,2021
22-25,1,5,5.0,2021
31-34,1,6,,2021
22-25,9,5,1432.0,2021
35-40,5,4,72.0,2021
35-40,5,1,5.0,2021
35-40,9,9,4186.0,2021
22-25,4,3,105.0,2021
22-25,2,4,237.0,2021
22-25,9,2,336.0,2021
35-40,4,5,544.0,2021
26-30,9,1,293.0,2021
31-34,2,5,56.0,2021
31-34,4,2,11.0,2021
26-30,1,1,11356.0,2021
22-25,5,1,,2021
22-25,9,6,8.0,2021
31-34,3,3,217819.0,2021
26-30,5,5,271674.0,2021
22-25,4,4,33804.0,2021
31-34,5,6,615.0,2021
22-25,2,1,70.0,2021
26-30,1,2,98.0,2021
31-34,9,5,2804.0,2021
31-34,3,5,1628.0,2021
22-25,5,2,10.0,2021
22-25,2,2,39406.0,2021
26-30,6,6,1172.0,2021
26-30,9,2,230.0,2021
31-34,5,3,342.0,2021
26-30,9,5,3686.0,2021
35-40,9,2,31.0,2021
26-30,3,5,3545.0,2021
35-40,5,3,84.0,2021
26-30,4,2,8.0,2021
31-34,5,9,,2021
35-40,1,1,3701.0,2021
22-25,9,3,1525.0,2021
31-34,4,3,154.0,2021
26-30,5,6,565.0,2021
35-40,2,2,8604.0,2021
26-30,4,5,9845.0,2021
26-30,2,4,400.0,2021
35-40,9,3,171.0,2021
26-30,4,3,169.0,2021
22-25,9,1,341.0,2021
22-25,2,5,66.0,2021
26-30,5,3,366.0,2021
31-34,1,3,402.0,2021
31-34,5,2,18.0,2021
35-40,1,5,5.0,2021
35-40,4,2,,2021
31-34,2,1,54.0,2021
31-34,2,4,217.0,2021
31-34,6,5,19.0,2021
22-25,3,3,210808.0,2021
26-30,1,3,430.0,2021
35-40,2,1,23.0,2021
35-40,2,4,53.0,2021
31-34,9,9,18355.0,2021
22-25,1,3,598.0,2021
31-34,1,2,68.0,2021
31-34,4,6,16.0,2021
22-25,5,6,7.0,2021
31-34,1,1,12603.0,2021
22-25,3,4,19181.0,2021
22-25,9,4,2414.0,2021
26-30,2,5,117.0,2021
22-25,3,1,33.0,2021
31-34,9,3,780.0,2021
22-25,5,3,110.0,2021
35-40,3,5,305.0,2021
35-40,1,4,,2021
26-30,5,4,288.0,2021
22-25,1,2,121.0,2021
35-40,5,6,109.0,2021
26-30,1,4,12.0,2021
26-30,1,5,17.0,2021
26-30,2,2,49140.0,2021
35-40,3,1,12.0,2021
31-34,5,5,250546.0,2021
22-25,4,2,15.0,2021
31-34,6,6,5012.0,2021
35-40,9,5,595.0,2021
31-34,2,2,38043.0,2021
26-30,9,4,1244.0,2021
26-30,3,1,36.0,2021
35-40,3,6,,2021
35-40,9,9,4625.0,2022
22-25,2,4,171.0,2022
22-25,4,3,84.0,2022
