design,arm,trunc,age_group,tier,gamma2,se,p,n_obs,status,elapsed_s
OL_daioe,true,2021,22-25,gate,0.0061643754865111,0.0048505023210212,0.203773609453338,10341000,ok,118.4
OL_daioe,asof,2021,22-25,gate,-0.156233737201519,0.0069600269520746,1.3601773460139602e-111,10136040,ok,112.8
