rung,band_vs_ref,reference,coef,se,n_firms
A_edu_full,22_25,41-49,-0.0356761493449179,0.0135061571249199,120359
A_edu_full,26_30,41-49,-0.0137293853435368,0.0087932811018526,120359
B_edu_intersect,22_25,41-49,-0.0292991791523531,0.0143418039435879,55792
B_edu_intersect,26_30,41-49,-0.0140931851353081,0.0092382101758754,55792
D_occ_joint,22_25,41-49,-0.0088897226245387,0.0251200974372784,55792
D_occ_joint,26_30,41-49,-0.0118371985218041,0.0093121409804844,55792
