coef,se,n_firms,young_band,measure,bands_used
-0.0453484150836122,0.0129976983409126,114969,22-25,leave_one_out,26-30+31-34+35-40+41-49+50+
-0.0437351778793154,0.0078800248913136,128193,26-30,incumbent31,31-34+35-40+41-49+50+
