arm,band_vs_ref,coef,se,n_firms
plain,22_25,-0.0356761493449179,0.0135061571249199,120359
plain,26_30,-0.0137293853435368,0.0087932811018526,120359
seasonal,22_25,-0.0153267439840594,0.0126342645966787,120359
seasonal,26_30,-0.0090586786254873,0.0085988900554105,120359
