fq,age_group,period,mean_value,total,n_firms,n_cells
1,22-25,post,3.6618789353113455,1652833,37370,451362
1,22-25,pre,3.6021854722287814,2410388,44464,669146
1,26-30,post,3.982687795669752,2084491,40789,523388
1,26-30,pre,3.9277455484758095,3222075,50365,820337
1,31-34,post,3.7850019168477034,2043708,41442,539949
1,31-34,pre,3.604133214679538,2980820,50472,827056
1,35-40,post,4.279517840449073,2980115,50387,696367
1,35-40,pre,3.9370635357664745,4046758,58798,1027862
1,41-49,post,4.669352136612393,4055337,60430,868501
1,41-49,pre,4.416301554109261,5788813,70788,1310783
1,50+,post,6.115079319835545,8045139,86391,1315623
1,50+,pre,5.744657185058887,10835446,95218,1886178
2,22-25,post,12.180621074668528,1745483,11815,143300
2,22-25,pre,11.719636658126175,2474613,13737,211151
2,26-30,post,13.226900647370393,2225016,13147,168219
2,26-30,pre,12.912784364739164,3295575,15636,255218
2,31-34,post,12.274380834031732,2123652,13426,173015
2,31-34,pre,11.477504846335238,2954436,15683,257411
2,35-40,post,14.154611978987452,3085210,16151,217965
2,35-40,pre,12.452628322143498,4024814,18672,323210
2,41-49,post,15.304063147279567,4218917,19460,275673
2,41-49,pre,14.313666376719912,5792340,22170,404672
2,50+,post,23.3878239396845,8902926,25637,380665
2,50+,pre,22.007188542671237,11912007,27911,541278
3,22-25,post,15.480096655220654,1338920,7499,86493
3,22-25,pre,14.790518857433357,1862008,8819,125892
3,26-30,post,17.515433101566053,1886815,8769,107723
3,26-30,pre,16.720051413881748,2731722,10394,163380
3,31-34,post,16.818424886299034,1893351,9138,112576
3,31-34,pre,15.734702236132676,2573977,10537,163586
3,35-40,post,20.760902277501945,2855932,10681,137563
3,35-40,pre,18.263560129502796,3661095,12194,200459
3,41-49,post,23.164074926864,4164947,13318,179802
3,41-49,pre,20.968462144173056,5645381,15358,269232
3,50+,post,33.64394556527688,9540380,19762,283569
3,50+,pre,30.964181927607257,12605054,21543,407085
4,22-25,post,5.76714240886417,1065964,17165,184834
4,22-25,pre,5.5459932866093,1521693,20884,274377
4,26-30,post,8.480098224378214,2393177,22927,282211
4,26-30,pre,8.343519661394229,3575874,27780,428581
4,31-34,post,8.2714062283463,2506782,24660,303066
4,31-34,pre,7.7652316012596625,3454604,28740,444881
4,35-40,post,9.099348075413992,3617828,31002,397592
4,35-40,pre,7.926899755476603,4723267,36564,595853
4,41-49,post,8.848505263454921,5017306,42222,567023
4,41-49,pre,8.092099489377254,6952303,49245,859147
4,50+,post,9.537862065267234,8715231,64500,913751
4,50+,pre,8.534346858280939,10926951,68929,1280350
