"term","rb_x_highedu_x_young","q1_x_highedu_x_young","q2_x_highedu_x_young","q3_x_highedu_x_young","interim_x_highedu_x_young","post_x_highedu_x_young"
"rb_x_highedu_x_young",1.58926559058797e-05,-1.04172552968013e-06,-4.73741607389315e-06,-3.59757983892064e-06,1.99762557801836e-06,3.67675527352868e-06
"q1_x_highedu_x_young",-1.04172552968013e-06,2.11505451779347e-05,1.48788565258329e-05,1.25829032189387e-05,4.21655425768223e-06,1.09543645369216e-05
"q2_x_highedu_x_young",-4.73741607389315e-06,1.48788565258329e-05,1.63957565890043e-05,1.59115097079236e-05,6.37722657342619e-06,1.67242124278715e-05
"q3_x_highedu_x_young",-3.59757983892064e-06,1.25829032189387e-05,1.59115097079236e-05,2.13049259893701e-05,6.35514868737308e-06,1.61380156683103e-05
"interim_x_highedu_x_young",1.99762557801836e-06,4.21655425768223e-06,6.37722657342619e-06,6.35514868737308e-06,2.87635149475473e-05,5.43305152719138e-05
"post_x_highedu_x_young",3.67675527352868e-06,1.09543645369216e-05,1.67242124278715e-05,1.61380156683103e-05,5.43305152719138e-05,0.000145316119131897
