"term","rb_x_high_x_young","q1_x_high_x_young","q2_x_high_x_young","q3_x_high_x_young","interim_x_high_x_young","post_x_high_x_young","rb_x_highedu_x_young","q1_x_highedu_x_young","q2_x_highedu_x_young","q3_x_highedu_x_young","interim_x_highedu_x_young","post_x_highedu_x_young"
"rb_x_high_x_young",2.75043236446514e-05,3.71508829312971e-06,-5.07085971047747e-06,-2.58968790084163e-06,8.78315195055534e-06,2.24625241887092e-05,-1.49126096247313e-05,-1.97672652769206e-06,3.59857278024376e-06,2.8287340140312e-06,-5.75689197819721e-06,-1.70669604025218e-05
"q1_x_high_x_young",3.71508829312971e-06,2.08611296362042e-05,1.21519345427992e-05,9.48328314134697e-06,-1.64273888963021e-06,-3.88599895453218e-06,-1.97879204543381e-06,-1.52826492361983e-05,-1.0025211936169e-05,-1.06042893804925e-05,6.42723711286084e-06,1.42869997391098e-05
"q2_x_high_x_young",-5.07085971047747e-06,1.21519345427992e-05,1.69942038952122e-05,9.51819547999299e-06,-1.974365989658e-06,-1.62019774790921e-06,3.53656989742317e-06,-1.01026413385898e-05,-1.3048656323845e-05,-9.07211186879095e-06,4.3306821078192e-06,8.3651081378757e-06
"q3_x_high_x_young",-2.58968790084163e-06,9.48328314134697e-06,9.51819547999299e-06,1.36005541414421e-05,1.13723166831533e-06,-5.98673934147386e-07,2.75271232897465e-06,-1.08473178563581e-05,-9.16470828828592e-06,-1.11914412960134e-05,2.76536700118753e-07,2.09832954373434e-06
"interim_x_high_x_young",8.78315195055534e-06,-1.64273888963021e-06,-1.974365989658e-06,1.13723166831533e-06,5.26994902114225e-05,8.04229070678462e-05,-5.89253764853026e-06,6.53604547144204e-06,4.4522148747601e-06,5.33800065437893e-07,-3.39750482303326e-05,-5.68018121589852e-05
"post_x_high_x_young",2.24625241887092e-05,-3.88599895453218e-06,-1.62019774790921e-06,-5.98673934147386e-07,8.04229070678462e-05,0.000177654360694372,-1.76084043735375e-05,1.46656760039564e-05,8.65280021347542e-06,2.61113274287443e-06,-5.69062597472019e-05,-0.000126110198800737
"rb_x_highedu_x_young",-1.49126096247313e-05,-1.97879204543381e-06,3.53656989742317e-06,2.75271232897465e-06,-5.89253764853026e-06,-1.76084043735375e-05,2.31719487091034e-05,2.0732743567103e-06,-4.46925146299922e-06,-2.87952718776259e-06,7.15301961714556e-06,2.00932342685309e-05
"q1_x_highedu_x_young",-1.97672652769206e-06,-1.52826492361983e-05,-1.01026413385898e-05,-1.08473178563581e-05,6.53604547144204e-06,1.46656760039564e-05,2.0732743567103e-06,2.63737156809494e-05,1.54296381008713e-05,1.3511114520272e-05,-6.39552609804401e-06,-1.57999178689651e-05
"q2_x_highedu_x_young",3.59857278024376e-06,-1.0025211936169e-05,-1.3048656323845e-05,-9.16470828828592e-06,4.4522148747601e-06,8.65280021347542e-06,-4.46925146299922e-06,1.54296381008713e-05,1.669297074119e-05,1.29276504613772e-05,-3.04241816044134e-06,-7.84368131553816e-06
"q3_x_highedu_x_young",2.8287340140312e-06,-1.06042893804925e-05,-9.07211186879095e-06,-1.11914412960134e-05,5.33800065437893e-07,2.61113274287443e-06,-2.87952718776259e-06,1.3511114520272e-05,1.29276504613772e-05,1.84185020517198e-05,8.81179244135111e-08,-3.09709163449258e-06
"interim_x_highedu_x_young",-5.75689197819721e-06,6.42723711286084e-06,4.3306821078192e-06,2.76536700118753e-07,-3.39750482303326e-05,-5.69062597472019e-05,7.15301961714556e-06,-6.39552609804401e-06,-3.04241816044134e-06,8.81179244135111e-08,4.74731832030176e-05,8.36418434577699e-05
"post_x_highedu_x_young",-1.70669604025218e-05,1.42869997391098e-05,8.3651081378757e-06,2.09832954373434e-06,-5.68018121589852e-05,-0.000126110198800737,2.00932342685309e-05,-1.57999178689651e-05,-7.84368131553816e-06,-3.09709163449258e-06,8.36418434577699e-05,0.000202274059419379
