period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,spec,engine,age_group
2023H2,-0.0232661071461248,0.0036412811520641,1.6638683390359102e-10,16574766,43996197,True,75.0378232002258,ok,EDU_QUARTILE,poisson,35-40
2024H1,-0.0076293359586097,0.004969300712471,0.124711706820564,16574766,43996197,True,75.0378232002258,ok,EDU_QUARTILE,poisson,35-40
2024H2,-0.0111512022065243,0.0051935284984969,0.0317826061973846,16574766,43996197,True,75.0378232002258,ok,EDU_QUARTILE,poisson,35-40
2025H1,0.0184819027844495,0.0067497511224757,0.0061783890650799,16574766,43996197,True,75.0378232002258,ok,EDU_QUARTILE,poisson,35-40
2019H1,-0.0939750050002631,0.0054987332130253,1.75267256672247e-65,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2019H2,-0.0946032641180458,0.005229008084062,3.6840527031423804e-73,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2020H1,-0.0540507143023665,0.0041581361084621,1.24303596018211e-38,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2020H2,-0.0555592190311177,0.0039862182995416,3.7313105332667203e-44,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2021H1,-0.0180069582829383,0.0024367208431622,1.47014163659695e-13,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2021H2,-0.0240224989986019,0.0021525061489362,6.38144614693486e-29,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2022H1,0.0,0.0,,19236360,64184173,True,90.0501959323883,reference,EDU_QUARTILE,poisson,41-49
2022H2,-0.0079103527589565,0.0010800154334749,2.40156015465904e-13,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2023H1,0.0183772700610551,0.0020339591406491,1.63671578593881e-19,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2023H2,0.0128459051717214,0.0023101436356152,2.68768421508236e-08,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2024H1,0.0436649392526653,0.0031373827697642,4.95034109278287e-44,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2024H2,0.0424775958677883,0.0033605051010023,1.26664391900571e-36,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2025H1,0.071968916199374,0.004416620873922,1.0707231570551e-59,19236360,64184173,True,90.0501959323883,ok,EDU_QUARTILE,poisson,41-49
2019H1,-0.0929264728602173,0.0038763009073843,5.32301744361566e-127,21713094,95198179,True,102.654305934906,ok,EDU_QUARTILE,poisson,50+
