period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,spec,engine,age_group
2020H2,0.0158398552673726,0.0017809318499148,6.02469954780462e-19,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2021H1,0.0141925032144737,0.0014478364470233,1.1354876371563499e-22,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2021H2,0.0068968010498569,0.001249497717184,3.40867648711917e-08,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2022H1,0.0,0.0,,16574766,43996197,True,23.3607239723206,reference,EDU_QUARTILE,ols,35-40
2022H2,-0.0060945750412892,0.0008118662854299,6.12774177519413e-14,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2023H1,-0.0029386659194558,0.0015024936341683,0.0504857482672421,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2023H2,-0.0044043574300942,0.0016176489822712,0.0064768844894949,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2024H1,0.005147402636502,0.0019020815850358,0.0068075784413602,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2024H2,0.003322229781454,0.0019457679544025,0.0877497542566333,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2025H1,0.0193773161625916,0.0021273391448225,8.55056191301497e-20,16574766,43996197,True,23.3607239723206,ok,EDU_QUARTILE,ols,35-40
2019H1,-0.0382586353866835,0.0018114573192472,9.62000700321645e-99,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2019H2,-0.0391339772012402,0.0017707955008551,6.70104575600419e-108,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2020H1,-0.0195092349376833,0.0015893004441546,1.31970515336724e-34,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2020H2,-0.019294647885335,0.0015191814084987,6.36242788312372e-37,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2021H1,-0.0033318103058561,0.001238143562456,0.0071258833403117,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2021H2,-0.0104313410289559,0.0010401983309988,1.1830107274502901e-23,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2022H1,0.0,0.0,,19236360,64184173,True,27.2854061126709,reference,EDU_QUARTILE,ols,41-49
2022H2,-0.0047466268602654,0.0007102846743744,2.36090738191467e-11,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2023H1,0.0070584032295116,0.0012719817026781,2.87984502765945e-08,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2023H2,0.0050340804456806,0.0013919830642005,0.0002988182588703,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2024H1,0.021570048847802,0.0016296550250498,5.99181918883532e-40,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2024H2,0.0202685525300849,0.0016850777081839,2.69674510748821e-33,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2025H1,0.0371359015612851,0.0018424286169066,3.99589727252346e-90,19236360,64184173,True,27.2854061126709,ok,EDU_QUARTILE,ols,41-49
2019H1,-0.0157203368627728,0.0014969592493054,8.80346507532189e-26,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2019H2,-0.0155995436092962,0.0014416523537001,2.86024065011565e-27,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2020H1,-0.0071665258465844,0.0013020816766115,3.72511215462549e-08,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2020H2,-0.0044217962693225,0.0012223535265873,0.0002976915779001,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2021H1,0.0004484849461085,0.001007990859995,0.656371737855796,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2021H2,-0.0029101358357067,0.0008181890935395,0.000375594463249,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2022H1,0.0,0.0,,21713094,95198179,True,31.6451539993286,reference,EDU_QUARTILE,ols,50+
2022H2,-4.65788382673776e-05,0.0006412697533306,0.942096478421234,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2023H1,0.0069501540106451,0.0010206334058055,9.8460377786137e-12,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2023H2,0.0071768906254365,0.0011555273979304,5.29081757075441e-10,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2024H1,0.019715987176698,0.0013302325332969,1.22142249559674e-49,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2024H2,0.0213145327594452,0.0014047997812132,6.24130954574828e-52,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
2025H1,0.0359177509985513,0.0015217287385381,8.582800361484039e-123,21713094,95198179,True,31.6451539993286,ok,EDU_QUARTILE,ols,50+
