period,coef,se,pvalue,n_obs,n_emp_total,converged,elapsed_s,status,trunc,assignment
2019H1,0.0315808374606732,0.010725990309625,0.0032365641305835,7944780,16445333,True,34.5980679988861,ok,2021,true
2019H2,0.0027633233253638,0.0113706228049243,0.80798754874892,7944780,16445333,True,34.5980679988861,ok,2021,true
2020H1,0.0,0.0,,7944780,16445333,True,34.5980679988861,reference,2021,true
2020H2,-0.0122887994506544,0.0070039072715811,0.0793340141487894,7944780,16445333,True,34.5980679988861,ok,2021,true
2021H1,0.0193072713842996,0.0119963773975511,0.107523411586084,7944780,16445333,True,34.5980679988861,ok,2021,true
2021H2,-0.0156594079118046,0.0137033533478659,0.253145407975243,7944780,16445333,True,34.5980679988861,ok,2021,true
2022H1,0.0387293554767714,0.015333977036979,0.0115460971007512,7944780,16445333,True,34.5980679988861,ok,2021,true
2022H2,-0.0150154297365616,0.0163049462259406,0.357096081625578,7944780,16445333,True,34.5980679988861,ok,2021,true
2023H1,0.0443209712322739,0.0175690587047853,0.0116467000854347,7944780,16445333,True,34.5980679988861,ok,2021,true
2023H2,0.0181395065353318,0.0188093301453371,0.334851056398499,7944780,16445333,True,34.5980679988861,ok,2021,true
2019H1,0.0267984602621298,0.0102316797080424,0.0088145228393117,7036920,15330492,True,31.8401381969452,ok,2021,asof
2019H2,0.0090536382971921,0.0108421799133529,0.403695998148295,7036920,15330492,True,31.8401381969452,ok,2021,asof
2020H1,0.0,0.0,,7036920,15330492,True,31.8401381969452,reference,2021,asof
2020H2,-0.005505470602515,0.0066335102393458,0.406568010090771,7036920,15330492,True,31.8401381969452,ok,2021,asof
2021H1,0.0177120003597027,0.0114670751697457,0.122443973793082,7036920,15330492,True,31.8401381969452,ok,2021,asof
2021H2,-0.0076337441022552,0.0130698704642116,0.559171937909669,7036920,15330492,True,31.8401381969452,ok,2021,asof
2022H1,-0.301775384705458,0.0165671256413644,3.90177409844964e-74,7036920,15330492,True,31.8401381969452,ok,2021,asof
2022H2,-0.405302046950874,0.0229760064574996,1.20966804160413e-69,7036920,15330492,True,31.8401381969452,ok,2021,asof
2023H1,-0.646546839025564,0.0316067616058201,5.3158912389335305e-93,7036920,15330492,True,31.8401381969452,ok,2021,asof
2023H2,-0.711082478712631,0.0378873859906254,1.37161811094347e-78,7036920,15330492,True,31.8401381969452,ok,2021,asof
