design,mean_abs_bias,max_abs_art,false_pass,null_false_decline,placebo_50p
entrant_share,0.08477780479753123,0.2629318650773395,0.0,,0.0
full,0.08477780479753123,0.2479555115994257,0.0,,0.0
OL_daioe,0.12045382505999692,0.4975875052100474,0.0,,0.0
enrol,0.12045382505999692,0.4536023215835134,0.0,,0.0
entrant,0.12045382505999692,0.4975875052100474,0.0,,0.0
fresh_stock,0.12045382505999692,0.4975875052100474,0.0,,0.0
OL_exact,0.12261914184164287,0.3873854784748918,0.0,,0.0
expband,0.1588933471093907,0.5958184570150977,0.0,,0.0
