arm,band_vs_ref,coef,se,n_firms
plain,22_25,-0.0287791021798494,0.013013981660892,172396
plain,26_30,-0.0146140468259999,0.0085993838181687,172396
plain,31_34,0.0162307294294521,0.0064236231234689,172396
plain,35_40,0.0086937616531507,0.0051959396510597,172396
plain,50p,0.0616058346367769,0.0065481076665095,172396
seasonal,22_25,-0.0098552702483302,0.0121134750216061,172396
seasonal,26_30,-0.0095950905385111,0.0084010469739345,172396
seasonal,31_34,0.0159132420960349,0.0063317063830363,172396
seasonal,35_40,0.0090118605147389,0.0051332356796908,172396
seasonal,50p,0.0589052643194303,0.0062430218931608,172396
