panel,block,group,item,n_employers,share,value
26-30 stock,step,Ftg_2015,resolved,298,0.0023246199090433957,0.9757943101417395
26-30 stock,step,Ftg_2023,resolved,199,0.0015523468520122004,0.9773466569937516
26-30 stock,step,FDB_JE,resolved,58,0.000452442801088983,0.9777990997948406
26-30 stock,step,unresolved,resolved,2846,0.02220090020515941,1.0
26-30 stock,step,all,employers_on_panel,128193,1.0,1.0
26-30 stock,size,in_Ftg_2019,n_employers,118787,,118787.0
26-30 stock,size,in_Ftg_2019,mean_headcount_p10,118787,,1.3148148148148149
26-30 stock,size,in_Ftg_2019,mean_headcount_p25,118787,,2.685185185185185
26-30 stock,size,in_Ftg_2019,mean_headcount_p50,118787,,5.685185185185185
26-30 stock,size,in_Ftg_2019,mean_headcount_p75,118787,,13.351851851851851
26-30 stock,size,in_Ftg_2019,mean_headcount_p90,118787,,35.24074074074074
26-30 stock,size,in_Ftg_2019,mean_headcount_mean,118787,,36.83991935144418
26-30 stock,size,in_Ftg_2019,months_active_mean,118787,,49.09583540286395
26-30 stock,size,in_Ftg_2019,share_active_every_month,118787,,0.7555288036569658
26-30 stock,size,in_Ftg_2019,share_active_under_6_months,118787,,0.011625851313695944
26-30 stock,size,missed_by_Ftg_2019,n_employers,9406,,9406.0
26-30 stock,size,missed_by_Ftg_2019,mean_headcount_p10,9406,,0.37037037037037035
26-30 stock,size,missed_by_Ftg_2019,mean_headcount_p25,9406,,0.5370370370370371
26-30 stock,size,missed_by_Ftg_2019,mean_headcount_p50,9406,,0.8888888888888888
26-30 stock,size,missed_by_Ftg_2019,mean_headcount_p75,9406,,1.7777777777777777
26-30 stock,size,missed_by_Ftg_2019,mean_headcount_p90,9406,,3.462962962962963
26-30 stock,size,missed_by_Ftg_2019,mean_headcount_mean,9406,,2.2941148675786143
26-30 stock,size,missed_by_Ftg_2019,months_active_mean,9406,,23.525728258558367
26-30 stock,size,missed_by_Ftg_2019,share_active_every_month,9406,,0.15575164788432916
26-30 stock,size,missed_by_Ftg_2019,share_active_under_6_months,9406,,0.2404847969381246
26-30 stock,size,unresolved,n_employers,2846,,2846.0
26-30 stock,size,unresolved,mean_headcount_p10,2846,,0.35185185185185186
26-30 stock,size,unresolved,mean_headcount_p25,2846,,0.46296296296296297
26-30 stock,size,unresolved,mean_headcount_p50,2846,,0.6481481481481481
26-30 stock,size,unresolved,mean_headcount_p75,2846,,1.1296296296296295
26-30 stock,size,unresolved,mean_headcount_p90,2846,,2.4907407407407405
26-30 stock,size,unresolved,mean_headcount_mean,2846,,1.867800161370084
26-30 stock,size,unresolved,months_active_mean,2846,,15.171468728039354
26-30 stock,size,unresolved,share_active_every_month,2846,,0.0910049191848208
26-30 stock,size,unresolved,share_active_under_6_months,2846,,0.40021082220660575
26-30 stock,size,unresolved,share_of_panel_employment,2846,0.0012087639184490398,0.0012087639184490398
22-25 sex,step,Ftg_2019,resolved,105927,0.9503673996716281,0.9503673996716281
22-25 sex,step,Ftg_2018,resolved,2105,0.018885868346208024,0.9692532680178362
22-25 sex,step,Ftg_2020,resolved,780,0.006998088983392997,0.9762513570012291
22-25 sex,step,Ftg_2017,resolved,364,0.0032657748589167315,0.9795171318601459
22-25 sex,step,Ftg_2021,resolved,333,0.0029876456813716255,0.9825047775415175
22-25 sex,step,Ftg_2016,resolved,195,0.0017495222458482492,0.9842542997873658
22-25 sex,step,Ftg_2022,resolved,169,0.0015162526130684825,0.9857705524004342
22-25 sex,step,Ftg_2015,resolved,123,0.0011035448012273572,0.9868740972016616
22-25 sex,step,Ftg_2023,resolved,123,0.0011035448012273572,0.987977642002889
22-25 sex,step,FDB_JE,resolved,32,0.00028710108649817424,0.9882647430893872
22-25 sex,step,unresolved,resolved,1308,0.011735256910612871,1.0
22-25 sex,step,all,employers_on_panel,111459,1.0,1.0
22-25 sex,size,in_Ftg_2019,n_employers,105927,,105927.0
22-25 sex,size,in_Ftg_2019,mean_headcount_p10,105927,,1.3518518518518519
22-25 sex,size,in_Ftg_2019,mean_headcount_p25,105927,,2.7222222222222223
22-25 sex,size,in_Ftg_2019,mean_headcount_p50,105927,,5.814814814814815
22-25 sex,size,in_Ftg_2019,mean_headcount_p75,105927,,13.925925925925926
22-25 sex,size,in_Ftg_2019,mean_headcount_p90,105927,,37.166666666666664
22-25 sex,size,in_Ftg_2019,mean_headcount_mean,105927,,38.86890762296466
22-25 sex,size,in_Ftg_2019,months_active_mean,105927,,49.60819243441238
22-25 sex,size,in_Ftg_2019,share_active_every_month,105927,,0.7644698707600517
22-25 sex,size,in_Ftg_2019,share_active_under_6_months,105927,,0.008298167605992807
22-25 sex,size,missed_by_Ftg_2019,n_employers,5532,,5532.0
22-25 sex,size,missed_by_Ftg_2019,mean_headcount_p10,5532,,0.37037037037037035
22-25 sex,size,missed_by_Ftg_2019,mean_headcount_p25,5532,,0.6111111111111112
22-25 sex,size,missed_by_Ftg_2019,mean_headcount_p50,5532,,1.1296296296296295
22-25 sex,size,missed_by_Ftg_2019,mean_headcount_p75,5532,,2.240740740740741
22-25 sex,size,missed_by_Ftg_2019,mean_headcount_p90,5532,,4.388888888888889
22-25 sex,size,missed_by_Ftg_2019,mean_headcount_mean,5532,,2.9162683109718537
22-25 sex,size,missed_by_Ftg_2019,months_active_mean,5532,,30.209689081706436
22-25 sex,size,missed_by_Ftg_2019,share_active_every_month,5532,,0.2098698481561822
22-25 sex,size,missed_by_Ftg_2019,share_active_under_6_months,5532,,0.13304410701373826
22-25 sex,size,unresolved,n_employers,1308,,1308.0
22-25 sex,size,unresolved,mean_headcount_p10,1308,,0.3148148148148148
22-25 sex,size,unresolved,mean_headcount_p25,1308,,0.46296296296296297
22-25 sex,size,unresolved,mean_headcount_p50,1308,,0.7777777777777778
22-25 sex,size,unresolved,mean_headcount_p75,1308,,1.6851851851851851
22-25 sex,size,unresolved,mean_headcount_p90,1308,,3.6296296296296298
22-25 sex,size,unresolved,mean_headcount_mean,1308,,2.810893079623966
22-25 sex,size,unresolved,months_active_mean,1308,,21.425076452599388
22-25 sex,size,unresolved,share_active_every_month,1308,,0.14908256880733944
22-25 sex,size,unresolved,share_active_under_6_months,1308,,0.2698776758409786
22-25 sex,size,unresolved,share_of_panel_employment,1308,0.0008894973936730414,0.0008894973936730414
