basis,young_band,coef,se,n_firms
ageband,22-25,-0.0509206482583649,0.0121757895378476,111459
cohort,22-25,0.226327211059681,0.0152901653227941,101708
ageband,26-30,-0.0437351778793154,0.0078800248913136,128193
cohort,26-30,0.0504486703929744,0.0064681941954667,118984
